,Food,Price
0,Giò heo muối chiên giòn,"120,000"
1,Ếch nằm rơm,"120,000"
2,Cá lăng nướng,"150,000"
3,Vi cá hồi chiên nước mắm,"80,000"
4,Ếch rang muối ớt,"120,000"
5,Lẩu cá lăng,"250,000"
6,Cá trứng chiên bơ tỏi,"80,000"
7,Xà lách xoong trộn bò,"120,000"
8,Lẩu vi cá hồi nấu măng chua,"250,000"
9,Cải thìa xào tỏi,"60,000"
10,Dựng Dê Xào Sa Tế,"120,000"
11,Cá trứng chiên tiêu xanh,"80,000"
12,Lẩu Dựng Dê,"250,000"
13,Vi cá hồi chiên giòn,"80,000"
14,Cải thìa xào bò,"100,000"
15,Xà lách xoong trộn dầu giấm,"60,000"
16,Xà lách xoong trộn cá ngừ đại dương,"120,000"
17,Dựng Dê Hấp Sả,"120,000"
18,Cá lăng 2 món nguyên con,"450,000"
19,Cải thìa xào hải sản,"100,000"
20,Dựng Dê Nấu Chao,"250,000"
21,Ếch chưng cách thủy với nấm,"140,000"
22,Lẩu ếch nấu nấm,"250,000"
23,Cải thìa xào mực,"120,000"
24,Bò Tơ Củ Chi Cuốn Rau Rừng,"220,000"
25,Muống Đủa Chén Nhựa,"5,000"
26,Chân gà chiên nước mắm,"80,000"
27,Lẩu gà ta nấu lá giang,"250,000"
28,Gà ta hấp hành,"140,000"
29,Lẩu gà ta tiềm ớt hiểm,"250,000"
30,Bắp Bò Cuốn Rau Rừng,"220,000"
31,Bò Tơ Củ Chi Lúc Lắc,"140,000"
32,Bò Tơ Củ Chi Nướng Lụi,"140,000"
33,Rắn xào sã ớt ,"180,000"
34,Rắn xào lăn ,"180,000"
35,Gà ta bóp rau răm,"140,000"
36,Lòng gà trứng non trộn rau càng cua,"120,000"
37,Dựng Dê Hấp Tía Tô,"120,000"
38,Bò Tơ Củ Chi Xào Lăn,"140,000"
39,Rắn bằm xúc bánh đa,"180,000"
40,Rắn hầm sã,"300,000"
41,Bò Tơ Củ Chi Xào Lá Cách,"160,000"
42,Dựng Dê Chiên Nc Mắm,"120,000"
43,Bò Rọi Bò Cuốn Bánh Tráng Rau Rừng,"170,000"
44,Gà ta nấu cháo,"450,000"
45,Gà ta xào gừng,"140,000"
46,Trứng non bóp củ hành rau răm,"120,000"
47,Ché đặc biệt,"50,000"
48,Chả giò chiên,"80,000"
49,Miến xào cua,"150,000"
50,Bánh phồng tôm,"30,000"
51,Tôm khô củ kiệu hột vịt bắc thảo,"100,000"
52,Chả đùm,"100,000"
53,Trái cây,"60,000"
54,Xúc xích chiên,"80,000"
55,Hạt điều,"60,000"
56,Bắp bò nhúng giấm,"200,000"
57,Bắp bò xào cải chua,"120,000"
58,Tủy bò trùm mền,"120,000"
59,Tủy bò chưng trứng,"120,000"
60,Bắp bò xào sate,"120,000"
61,Bắp bò nướng,"120,000"
62,Bắp bò trộn rau càng cua,"120,000"
63,Tủy bò bỏ lẩu,"100,000"
64,Tủy bò nấu cải xanh,"120,000"
65,Bắp bò xào tiêu xanh,"120,000"
66,Bắp bò xào cần nước,"120,000"
67,Bắp bò xào bông thiên lý,"120,000"
68,Bắp bò xào nấm,"120,000"
69,Bắp bò trộn xà lách,"120,000"
70,Bắp bò hấp lá tía tô,"150,000"
71,Bắp bò hấp hành gừng,"150,000"
72,Bắp bò xào lá lốt,"120,000"
73,Khô mực nướng,"100,000"
74,Khô mực chiên nước mắm,"100,000"
75,Khô cá chỉ vàng nướng,"70,000"
76,Khô nhái chiên giòn,"80,000"
77,Khô cá dứa xào chua ngọt,"120,000"
78,Khô nhái chiên nước mắm,"80,000"
79,Khô cá sặc,"100,000"
80,Khô mực chiên giòn,"100,000"
81,Khô cá chỉ vàng chiên nước mắm,"80,000"
82,Khô cá đuối,"70,000"
