,Food,Price
0,GÀ Ủ MUỐI HOA TIÊU 1/2 CON,"120,000"
1,GÀ RI Ủ MUỐI NGUYÊN CON  CHẶT SẴN,"200,000"
2,GÀ Ủ MUỐI HOA TIÊU ÔM TRỨNG,"200,000"
3,1 CON GÀ  Ủ MUỐI HOA TIÊU  CHẶT SẴN,"200,000"
4,GÀ Ủ MUỐI HOA TIÊU ÔM TRỨNG 1 CON CHẶT SẴN,"200,000"
5,CHÂN GÀ RÚT  XƯƠNG Ủ MUỐI HOA TIÊU KÈM RAU DƯA LEO NƯỚC CHẤM,"125,000"
6,2   KHAY GÀ  Ủ MUỐI HOA TIÊU,"190,000"
7,SÉT THẢ LẨU,"99,000"
8,Sting dâu,"15,000"
9,Bò húc,"18,000"
10,Vú heo ướp sẵn ,"120,000"
11,Râu bạch tuộc khổng lồ,"110,000"
12,Chân gà rút xương,"120,000"
13,Thịt nai phi lê,"130,000"
14,Dồi sụn,"90,000"
15,Cá trứng,"90,000"
16,Sụn gà cp,"120,000"
