,Food,Price
0,Pasta Carbonara,"120,000"
1,Spaghetti with meatballs,"115,000"
2,Spaghetti with Shrimps,"145,000"
3,Penne Amarriciana,"105,000"
4,Seafood Pasta,"165,000"
5,Gnocchi with Béchamel Sauce,"165,000"
6,Spaghetti alle Vongole,"125,000"
7,Chicken Burrito,"110,000"
8,Quesadilla Bolognese,"79,000"
9,Eggplant Quesadilla,"75,000"
10,Fish Tacos,"135,000"
11,Chicken Fajitas,"145,000"
12,Shrimp Fajitas,"175,000"
13,Roasted Potatoes with Sausages,"105,000"
14,Soups minestrone,"65,000"
15,Pumpkin Soup,"65,000"
16,Oatmeat with Seasonal Fruits,"78,000"
17,Sunny Side Up Eggs,"95,000"
18,Creamy Potato Soup,"65,000"
19,Toast and Jam,"65,000"
20,Granola,"89,000"
21,Barramundi Soup with Clams,"115,000"
22,Oriental Chicken Salad,"85,000"
23,Crepe Ham and Cheese,"75,000"
24,Caesar Salad,"120,000"
25,Feta Salad,"105,000"
26,Crepe Banana and Milk Chocolate,"75,000"
27,Mix salad,"75,000"
28,Crepe Cheese and Mushroom,"75,000"
29,Crepe Double Cheese,"75,000"
30,Nicoise Salad,"105,000"
31,Cottage cheese and raisins,"95,000"
32,Chicken Leg or Breast,"125,000"
33,Sea Bass Fish,"185,000"
34,Salmon Fillet,"195,000"
35,Iberico Pork Pibs,"235,000"
36,Pork Tenderloin,"139,000"
37,Barramundi Fish,"255,000"
38,Beef Ribeye,"325,000"
