,Food,Price
0,Red Velvet Cake 01,"330,000"
1,Tiramisu Vuông - KT032,"330,000"
2,Tiramisu Greentea Cake,"250,000"
3,Fresh Fruit Cake - KT029,"270,000"
4,Tiramisu Cake - KT031,"300,000"
5,Fruit Coconut Cake - KT048,"250,000"
6,Tiramisu Vuông - KT001,"330,000"
7,Fruit Cake - KT008,"250,000"
8,Red Velvet Cake 02,"330,000"
9,Fresh Fruit Cream Cake,"270,000"
10,Tiramisu - KT016,"250,000"
11,Capuccino - KT017,"330,000"
12,Tiramisu Trà Xanh 2,"250,000"
13,Green Tea Cake,"250,000"
14,Tiramisu Xù - KT035,"270,000"
15,Black Forest  -KT025,"270,000"
16,Fresh Fruit Cake 2 - KT049,"250,000"
17,Dark & White Chocolate Bào,"250,000"
18,White Cake - KT039,"250,000"
19,Fruitiramisu Cake - KT006,"550,000"
20,Dịch Vụ Tiệc Trà (Mã Bánh TT-02),"100,000"
21,Dịch Vụ Tiệc Trà (Mã bánh TT-03),"120,000"
22,Dịch Vụ Tiệc Trà (Mã Bánh TT-01),"70,000"
23,Kẹo Dẻo Nhập Khẩu HQ Mẫu 1,"12,000"
24,Sweet Ginger House-Nhà Gừng - S,"120,000"
25,Santaclaus Cake 1-BVM39,"300,000"
26,Chocolate Log Cake - BN002,"275,000"
27,Tiramisu Log Cake-BN003,"270,000"
28,White Chocolate House- Nhà Socola Trắng - BN005,"160,000"
29,Santa Claus Chocolate 3 MẪU Mã bánh: BN015,"25,000"
30,Chocolate Ông Già Noel -  BN022,"50,000"
31,Chocolate Quả Chuông - Bell,"15,000"
32,Chocolate Noel,"8,000"
33,Kẹo Candy Canes - BN030,"17,000"
34,Santa Claus Cake-BN004,"250,000"
35,Snowman Cream Cake-BN006,"400,000"
36,Dark Chocolate House- Nhà Socola Đen-  BN007,"160,000"
37,Santa Fresh Cream Cake-BN012,"250,000"
38,Sweet Ginger House-Nhà Gừng - M,"250,000"
39,Santaclaus Cake 2-BVM40,"300,000"
40,Snowman cake 1-BVM41,"300,000"
41,Snowman Cake 2-BVM42,"300,000"
42,Kem Tirano - Raisin Rum - Rum Nho,"20,000"
43,Kem Tirano - Chocolate,"20,000"
44,Kem Tirano - Vani,"20,000"
45,Kem Tirano - Strawberry - Dâu Tây,"20,000"
46,Kem Tirano - Tiramisu,"20,000"
47,Kem Tirano - Coffee,"20,000"
48,Kem Tirano - Passion Fruit,"100,000"
49,Kem Tirano - Passion Fruit - Chanh Leo,"20,000"
50,Kem Tirano - Vani 2,"100,000"
51,Kem Tirano - Tiramisu 2,"100,000"
52,Kem Tirano - Chocolate 2,"100,000"
53,Kem Tirano - Coconut - Dừa 2,"100,000"
54,Kem Tirano - Coconut Dừa,"20,000"
55,Kem Tirano - Raisin Rum - Rum Nho 2,"100,000"
56,Kem Tirano - Strawberry - Dâu Tây 2,"100,000"
57,Kem Tirano - Coffee 2,"100,000"
58,Caramen Thường,"7,000"
59,Pate Anh Hòa,"35,000"
60,Caramen Pháp,"11,000"
61,Royal Pudding,"22,000"
62,Croissant - Bánh Sừng Bò,"14,000"
63,Chocolate Donut - Bánh Vòng Socola,"12,000"
64,Bánh Ngàn Lớp Táo,"14,000"
65,Bánh Su Kem,"60,000"
66,Bánh Ngàn Lớp Việt Quất,"14,000"
67,Donut - Bánh Vòng Đường,"12,000"
68,Bánh Nhân Nho Khoai,"17,000"
69,Pateso,"7,000"
70,Roll Cake - Gato Cuộn Vani,"65,000"
71,Bánh Xúc Xích Hoa,"24,000"
72,Light Cheese Cake,"90,000"
73,Muffin Vani,"12,000"
74,Muffin Trứng Muối (to),"26,000"
75,Bánh Pho Mai Tiêu,"25,000"
76,Chocolate Passion Fruit- Vị Chanh Leo,"4,500"
77,Chocolate Almond,"4,500"
78,Socola Hình Trái Tim,"6,000"
