,Food,Price
0,Bông lan trứng muối tô lớn ,"63,000"
1,Bông lan trứng muối hộp ,"45,000"
2,Bông lan chà bông,"16,200"
3,Bông lan nho ổ lớn ,"54,000"
4,Bông lan việt quất,"63,000"
5,Bông lan vuông,"31,500"
6,Bánh mì cua phô mai ,"16,200"
7,Bánh su kem ,"27,000"
8,Bánh tart trứng ,"18,000"
9,Bánh mì chà bông ,"16,200"
10,Bánh mì hoa cúc ,"49,500"
11,Bánh mì hoa cúc nho dừa ,"49,500"
12,Bánh mì dừa chà bông,"16,200"
13,Bánh mì phô mai trứng muối chà bông,"54,000"
14,Donut socola,"19,800"
15,Bánh mì dừa nhỏ 5 cái ,"27,000"
16,Bánh phô mai bơ tỏi ,"49,500"
17,Bánh mì xúc xích chà bông ,"16,200"
18,Sandwich,"43,200"
19,Bánh cua phô mai nhỏ ,"54,000"
20,Bánh paparoti,"19,800"
21,Pizza nhân thập cẩm ,"20,700"
22,Bánh chuối nhỏ ,"54,000"
23,Bánh Đậu Đỏ,"16,200"
24,Bánh Sầu Riêng,"16,200"
