,Food,Price
0,Lẩu hầu kim chi,"220,000"
1,Hầu nướng phomai,"12,000"
2,Hầu nướng mỡ hành,"10,000"
3,Hầu nướng mọi,"10,000"
4,Bẹ nướng,"80,000"
5,Bò nướng,"80,000"
6,Tôm nướng,"120,000"
7,Mực nướng,"120,000"
8,Xúc xích nướng,"8,000"
9,Ba chỉ nướng,"80,000"
10,Lòng non nướng,"80,000"
11,Đồ nướng thập cẩm ,"200,000"
12,Nộm bò xoài xanh,"120,000"
13,Khoai lang chiên,"40,000"
14,Nộm chân gà,"90,000"
15,Khoai tây chiên,"40,000"
16,Ngô chiên,"40,000"
17,Tù và ếch xào dưa,"120,000"
18, Ếch xào sả ớt,"130,000"
19, Ếch tẩm bột,"25,000"
20,Tù và ếch xào sả ớt,"120,000"
21,Combo 3 người,"510,000"
22,Combo 6 người,"900,000"
23,Lẩu đuôi bò,"320,000"
24,Lẩu cá khoai,"280,000"
25,Lẩu ếch,"300,000"
26,Lẩu gầu bò,"200,000"
27,Lẩu bò,"200,000"
28,Lẩu cá quả,"250,000"
29,Gà luộc,"160,000"
30,Gà chiên mắm,"160,000"
31,Lẩu gà nấm tươi,"280,000"
32,Gà rang muối,"160,000"
33,Gà rán,"160,000"
34,Khấu đuôi xào dưa,"90,000"
35,Lòng xào dưa,"120,000"
36,Bê tái chanh,"120,000"
37,Bò xào rau các loại,"120,000"
38,Bê xào sả ớt,"120,000"
39,Bê xào lăn,"120,000"
40,Bê xào măng yên tử,"140,000"
41,Bò xào cần tỏi,"120,000"
42,Bê xào cần tỏi,"120,000"
43,Mực sim chiên,"150,000"
44,Mực chiên bơ,"150,000"
45,Mực hấp bia,"150,000"
46,Mực xào cần tỏi,"150,000"
47,Mực xào dưa,"150,000"
48,Mực hấp,"150,000"
