,Food,Price
0,Mini set Vanilla,"56,000"
1,Choux Vanila,"39,000"
2,Choux Chocolate,"45,000"
3,Kaze kaze Vanilla,"52,000"
4,Kaze kaze chocolate,"52,000"
5,Mini set Chocolate,"56,000"
6,Paris brest Vanilla,"45,000"
7,Cookie Vanila,"45,000"
8,Paris brest Chocolate,"49,000"
9,Choux Durian - Sầu Riêng,"45,000"
10,Éclair Vanilla,"45,000"
11,Cookie Chocolate,"49,000"
12,Éclair Chocolate,"49,000"
13,Cookies Cơm Dừa Sấy (coconut cookies-150g ),"55,000"
14,Crack Crack 100gr,"20,000"
15,Cookies Bơ (Butter cookies_150g),"55,000"
16,Crack dừa 100gr,"20,000"
17,Cookies Hạt Dưa (watermelon seed cookies 150g),"55,000"
18,Hồng Trà sữa (Signature Milk Tea + White Pearl 650ml),"34,000"
19,Trà sữa nhài (Jasmine Milk Tea +white pearl),"33,000"
20,Trà sữa Panda (Panda Milk tea + White Pearl),"35,000"
21,Trà Dâu 500ml,"25,000"
22,Trà Chanh Leo 500ml,"35,000"
23,White pearl (trân châu trắng),"5,000"
24,Cà Phê Cháy ,"30,000"
25,Combo  1  Mình ,"95,000"
