,Food,Price
0,Da heo chiên giòn,"5,000"
1,Bánh Huế thập cẩm đặc biệt( khách nhớ vào mục thêm voucher để được khuyến mãi ạ),"50,000"
2,Bánh Bèo Tôm Chấy ( vào mục thêm    voucher để được khuyến mãi khách ơi),"40,000"
3,Bánh Lọc Huế set 10 Bánh,"55,000"
4,Bánh Nậm Huế SET 10 Bánh,"55,000"
5,Set 06 bánh bèo tôm chấy,"21,000"
6,Bánh Bèo Huế  Set 25 Bánh ,"80,000"
7,Bánh Ram Ít Set 05 bánh ,"50,000"
8,BÁNH BÈO HUẾ SET 50 BÁNH ,"160,000"
9,BÁNH RAM ÍT SET 10 BÁNH,"95,000"
10,Chả Huế,"12,000"
11,Bánh Lọc Lẻ,"5,500"
12,Tôm cháy thêm,"15,000"
13,Bánh Nậm Lẻ,"5,500"
14,Nem Huế Chính Gốc,"12,000"
15,Bánh Ram Ít Lẻ,"10,000"
16,Nem Huế 1 CẶP ( 2 miếng nem ),"24,000"
17,Bánh Bèo Lẻ ( 2 Bánh ),"7,000"
18,Chả Huế 01 cặp 2 miếng chả,"24,000"
19,Set 10 CẶP NEM HUẾ,"220,000"
