,Food,Price
0,Bánh canh thập cẩm,"45,000"
1,Bánh canh cua tôm,"45,000"
2,Bánh canh tôm không,"45,000"
3,"Bánh canh cua, thịt heo","45,000"
4,Bánh canh đặc biệt,"55,000"
5,Bánh canh cua không,"55,000"
6,Bánh canh cua chả,"45,000"
7,Bánh canh tôm chả,"45,000"
8,Bánh quẩy,"4,000"
9,Bánh đuông,"4,000"
10,Chén huyết,"7,000"
11,Chén nấm,"13,000"
12,Chén cua,"40,000"
13,Chén chả,"15,000"
14,Tô bánh canh không,"20,000"
15,Chén tôm,"25,000"
16,Sữa Đậu Nành,"12,000"
17,Sữa Đậu Xanh,"12,000"
18,Sữa Bắp,"12,000"
19,Mủ Trôm,"12,000"
20,Sting Dâu,"12,000"
21,Bò Húc,"16,000"
22,Nước suối,"8,000"
23,Coca,"12,000"
24,Trà Oolong,"12,000"
25,Pepsi,"12,000"
26,Sá Xị,"12,000"
27,7Up,"12,000"
28,O Độ,"12,000"
