,Food,Price
0,CÀ PHÊ SỮA,"24,000"
1,CÀ PHÊ SỮA DỪA,"28,000"
2,CÀ PHÊ ĐÁ,"24,000"
3,CÀ PHÊ SOCOLA,"28,000"
4,BẠC XỈU,"28,000"
5,BÁNH CROFFLE BƠ TRỨNG MUỐI,"34,000"
6,BÁNH CROFFLE SOCOLA HẠNH NHÂN,"34,000"
7,BÁNH CROISSANT TRỨNG MUỐI,"34,000"
8,BÁNH CROFFLE PHÔ MAI DĂM BÔNG,"40,000"
9,BÁNH CROFFLE BƠ TRỨNG CHÀ BÔNG,"34,000"
10,BÁNH CROFFLE BƠ,"25,000"
11,BÁNH CROISSANT BƠ,"25,000"
12,BÁNH CROFFLE KEM CHEESE OREO,"34,000"
13,BÁNH CROFFLE KEM TRÁI CÂY THEO MÙA,"34,000"
14,Croissant  phô mai dăm bông,"40,000"
15,CROISSANT BƠ PATE CHÀ BÔNG,"34,000"
16,"MẶN MÀ 2 (1 BÁNH CROFFLE BƠ TRỨNG CHÀ BÔNG, 1 BÁNH CROFFLE BƠ TRỨNG MUỐI, 1 BÁNH CROFFLE PHÔ MAI DĂM BÔNG, 1 BÁNH CROFFLE BƠ)","119,000"
17,"NGỌT NGÀO (1 BÁNH CROFFLE SOCOLA HẠNH NHÂN, 1 BÁNH CROFFLE KEM TRÁI CÂY THEO MÙA, BÁNH CROFFLE KEM CHEESE OREO)","89,000"
18,"ĐỦ ĐẦY ( 1 BÁNH CROFFLE SOCOLA HẠNH NHÂN, 1BÁNH CROFFLE KEM TRÁI CÂY THEO MÙA, 1 BÁNH CROFFLE KEM CHEESE OREO, 1 BÁNH CROFFLE BƠ TRỨNG CHÀ BÔNG, 1 BÁNH CROFFLE BƠ TRỨNG MUỐI, 1 BÁNH CROFFLE PHÔ MAI DĂM BÔNG)","199,000"
19,TRÀ SỮA TRÂN CHÂU TRUYỀN THỐNG,"22,000"
20,TRÀ SỮA TRÂN CHÂU MATCHA,"26,000"
21,SỮA TƯƠI TRÂN CHÂU ĐƯỜNG ĐEN,"28,000"
22,TRÀ SỮA TRÂN CHÂU SOCOLA,"26,000"
23,TRÀ SỮA TRÂN CHÂU KHOAI MÔN,"26,000"
24,TRÀ TẮC XÍ MUỘI,"20,000"
25,TRÀ VẢI,"26,000"
26,TRÀ HOA BỤT GIẤM,"26,000"
27,TRÀ ĐÀO,"30,000"
28,TRÀ TẮC,"17,000"
29,TRÀ CHANH DÂY,"26,000"
