,Food,Price
0,Bánh cuốn nhân thịt heo,"42,000"
1,Bánh cuốn nhân thịt heo lớn,"47,000"
2,Bánh Cuốn Thập Cẩm  Lớn,"47,000"
3,Bánh Cuốn Thập Cẩm  Nhỏ,"42,000"
4,Bánh Cuốn Nhân Tôm Lớn,"47,000"
5,Bánh Cuốn Nhân Tôm nhỏ,"42,000"
6,Bánh ướt miền Nam + Chả lụa,"43,000"
7,Bánh ướt miền Nam + Chả quế,"43,000"
8,Bánh ướt miền Nam,"37,000"
9,Nem chua,"7,000"
10,Chả chiên,"7,000"
11,Chả lụa,"7,000"
12,Chả mực,"16,000"
13,Nước sâm,"18,000"
14,sữa bắp,"18,000"
15,Mủ trôm,"18,000"
16,Nước tự chọn,"18,000"
17,Coca,"18,000"
18,Sua Sen,"18,000"
