,Food,Price
0,Combo: 2 Bánh mì thịt + 02 Coca-Cola,"73,000"
1,2 Chai Coca-Cola,"27,000"
2,Combo: 2 Xôi Đặc Biệt + 02 Coca-Cola,"120,700"
3,Coca-Cola chỉ 1Đ,1
4,Bánh mì phủ topping + 01 Coca-Cola,"38,000"
5,1 Chai Coca-Cola,"13,500"
6,Xôi Thập cẩm + 01 Coca-Cola,"53,000"
7,Bánh mì không (nhỏ),"4,000"
8,Bánh mì đặc ruột ngắn,"8,000"
9,Bánh Baguette,"10,000"
10,Bánh mì que không,"3,500"
11,Sandwich,"30,000"
12,Bánh Mì Thịt ổ 20k + Sâm Bông Cúc,"36,000"
13,Bánh Mì Thịt - full + Sâm Bông Cúc,"44,000"
14,Xôi Mặn Thịt Chả + Sâm Bông Cúc,"44,000"
15,Xôi Đ.Biệt Full Topping + Sâm Bông Cúc,"72,000"
16,Bánh Mì Phủ Topping + Sâm Bông Cúc   ,"45,000"
17,Bánh mì Đ.Biệt Full Topping + Sâm Bông Cúc,"72,000"
18,Bánh mì thịt - full,"28,000"
19,Xôi Mặn Thịt Chả,"28,000"
20,Que pate bơ chà bông,"15,000"
21,Que pate bơ,"15,000"
22,Bánh mì phủ topping,"29,000"
23,Thập cẩm ,"48,000"
24,Đặc Biệt Full Topping,"56,000"
25,Bánh mì chấm xíu mại tỏi phi,"35,000"
26,Que pate bơ xúc xích xông khói,"15,000"
27,Bánh Mì Cắt Lát Đặc Biệt Full Topping,"56,000"
28,Pate bơ CHẢ BÒ,"28,000"
29,Bánh mì thịt ổ 20k,"20,000"
30,Bánh mì chả các loại,"28,000"
31,Pate Bơ Chà Bông GÀ Ngon,"28,000"
32,Kẹp Xíu Mại,"35,000"
33,Pate Bơ Chả LỤA Ngon,"28,000"
34,Bánh mì chả LỤA muối tiêu,"28,000"
35,Bánh mì chả CHIÊN muối tiêu,"28,000"
36,Pate Bơ Jambon ĐỎ,"28,000"
37,Pate bơ chà bông HEO ngon,"28,000"
38,Pate Bơ Jambon TRẮNG,"28,000"
39,Sâm bông cúc,"16,000"
40,Aquafina,"16,000"
41,Giò thủ 100gram,"26,000"
42,Chả LỤA ngon 100 gram,"26,000"
43,Pate đặc biệt 100gram,"25,000"
44,Sốt bơ trứng 100gram,"20,000"
45,Chả BÒ 100gram,"30,000"
46,Chả CHIÊN ngon 100gram,"26,000"
47,Xíu mại viên nước sốt (lẻ),"16,000"
48,Chà bông GÀ ngon 100gram,"46,000"
49,Jambon da bao TRẮNG 100gram,"26,000"
50,Jambon da bao ĐỎ 100gram,"26,000"
51,Chà bông HEO ngon 100gram,"46,000"
52,Xúc xích tỏi xông khói 100gram,"26,000"
53,Rau Dưa,"28,000"
54,Chả LỤA ngon nguyên cây 1kg,"260,000"
55,Chả LỤA ngon nguyên 500gram,"130,000"
56,Chà bông GÀ ngon 250gram,"115,000"
57,Chả CHIÊN ngon 500gram,"130,000"
58,Nửa ký Chả CHIÊN Ngon + Nửa ký Giò Thủ,"255,000"
59,Jambon da bao ĐỎ nguyên 500gram,"130,000"
60,Jambon da bao TRẮNG nguyên 500gram,"130,000"
61,Chà bông HEO ngon 500gram,"230,000"
62,Nửa ký Xúc Xích Tỏi Xông Khói + Nửa ký Pate Đặc Biệt,"255,000"
63,Xúc Xích Tỏi Xông Khói 500gram,"130,000"
64,Chà bông GÀ ngon 500gram,"230,000"
65,Mua 1 Tặng 1 - Pate Đặc Biệt (100g) + Sốt Bơ Trứng (100g),"45,000"
66,Combo Chà Bông + Pate Đặc Biệt,"116,000"
67,Combo Chà Bông + Sốt Bơ Trứng ,"112,000"
68,Bánh giò (hấp sẵn),"16,000"
69,Bánh giò phủ topping,"30,000"
70,Bánh giò lạnh (chưa hấp),"16,000"
71,Xôi Mặn Thịt Chả + 01 lon Pepsi,"43,000"
72,Bánh mì phủ topping + 01 lon Pepsi,"44,000"
73,Pepsi lẻ,"15,000"
74,Bánh mì chấm xíu mại tỏi phi + 01 lon Pepsi,"50,000"
