,Food,Price
0,Combo 1 ( Mì Trộn HK  + Trà Tắc /Hồng Trà Sữa Tuỳ Chọn ),"60,000"
1,Combo 4 (Mì Trộn Tok Siêu Sốt+ Trà Tắc/Hồng Trà Sữa/Soda,"70,000"
2,Combo  2(Mì Uyên Ương + Trà Tắc /Hồng Trà Sữa/1Soda),"65,000"
3,Combo 3(Mì Trộn Sum Vầy +  Trà Tắc /Hồng Trà Sữa/Soda,"70,000"
4,Combo 5 (Mì Trộn HK + Trà Xoài Kim Quất/Trà Đào Bưởi Hồng/Trà Bưởi Mật Ong,"70,000"
5,Combo 6 (MÌ ĐEN TRỘN ĐB / BÚN GẠO LỨT Trà Tắc  /Hồng Trà Sữa ),"75,000"
6,Bánh Mì Pate Chà Bông,"27,000"
7,BÁNH MÌ SÀI GÒN ĐẶC BIỆT,"39,000"
8,BÁNH MÌ XÁ XÍU BBQ,"45,000"
9,BÁNH MÌ SUPER NHÂN,"45,000"
10,Bánh Mì Bơ Mật Chà Bông,"27,000"
11,TRÀ SỮA HongKong SIÊU THẠCH ,"30,000"
12,TRÀ SUMMER ỔI ĐÀO,"30,000"
13,TRÀ SỮA MATCHA TRÂN CHÂU GIÒN,"30,000"
14,TRÀ CAM DÂU TÂY,"30,000"
15,TRÀ XANH BƯỞI HỒNG,"30,000"
16,TRÀ SỮA XOÀI TRÂN CHÂU XOÀI,"30,000"
17,TRÀ SỮA ĐÀO TRÂN CHÂU TRẮNG,"30,000"
18,TRÀ XOÀI KIM QUẤT,"30,000"
19,TRÀ SỮA DƯA LƯỚI THẠCH TRÁI CÂY,"30,000"
20,TRÀ HOA QUẢ HONG KONG ĐB,"30,000"
21,Trà Tắc Xanh,"18,000"
22,Soda Chanh Đào,"25,000"
23,Soda Dâu Nhiệt Đới,"25,000"
24,Soda  Dưa Lưới Thanh Mát,"25,000"
25,Mì Trộn Hồng Kong,"40,000"
26,Mì Trộn Sum Vầy,"50,000"
27,Mì Trộn Tokboki Siêu Sốt,"50,000"
28,Mì Trộn Uyên Ương ,"45,000"
29,Bún Trộn Gạo Lứt Trộn Đặc Biệt (Sợi Bún được làm từ  Gạo Lứt Đỏ),"55,000"
30,TOKBOKKI SỐT CAY ,"28,000"
31,Mì Đen Healthy Trộn Đặc Biệt(Sợ mì được làm từ Hạt Mè Đen),"55,000"
32,Mì Bò Cay Đặc Biệt ,"79,000"
33,Mì Cay Hong Kong ,"59,000"
34,Mì Đen Bò Cay Đặc Biệt,"89,000"
35,MÌ TRỘN TƯƠNG ĐEN HONG KONG ,"50,000"
