,Food,Price
0,Bánh mì Chả cá Trứng nhỏ + Cà phê sữa,"40,000"
1,Bánh mì Chả Trứng Lớn + Cà Phê Sữa,"42,000"
2,Bánh mì chả cá Nhỏ + Bạc Xỉu,"40,000"
3,Bánh mì chả trứng nhỏ + Bạc Xỉu,"42,000"
4,Bánh mì Chả cá Lớn + Cà phê Sữa,"45,000"
5,Bánh Mì Chả Trứng Lớn + Nước Ngọt,"48,000"
6,Bánh mì Chả cá nhỏ + Cà phê đen,"35,000"
7,Bánh mì Chả cá nhỏ + Cà phê sữa,"38,000"
8,Bánh mì Chả cá Trứng nhỏ + Cà phê đen,"38,000"
9,Bánh Mì Chả Trứng Nhỏ + Nước Ngọt,"40,000"
10,Bánh mì Chả Trứng Lớn + Cà Phê Đá,"42,000"
11,Bánh mì Chả cá Lớn + Cà Phê Đá,"42,000"
12,Bánh mì Chả cá Lớn,"35,000"
13,Bánh mì Chả Trứng Lớn,"35,000"
14,Bánh mì Chả cá Nhỏ,"25,000"
15,Bánh mì Chả cá Trứng Nhỏ,"30,000"
16,Bánh Mì Ốp La 2 Trứng,"25,000"
17,Bánh Mì Không Nhân 2,"20,000"
18,Trà Tắc Ly Khổng Lồ ,"25,000"
19,Cacao sữa,"25,000"
20,Bạc xỉu,"20,000"
21,Cà phê đen,"15,000"
22,Olong Tea Plus,"15,000"
23,Nước suối,"15,000"
24,Sting,"15,000"
25,Cà phê sữa,"20,000"
26,Cocacola,"15,000"
27,Chả cá sợi Má Hải 120gr,"29,000"
28,Trứng ốp la-2p,"15,000"
29,Chả Cá Sợi 120gr,"29,000"
30,Hai Bánh Tráng Xì Ke - Má Hải,"16,000"
