,Food,Price
0,Sữa chua phô mai Đà Lạt,"12,000"
1,Bánh sầu riêng ngàn lớp - ổ 12cm (400gr),"135,000"
2,Bánh crepe ngập sầu set 4 cái,"55,000"
3,Bánh crepe ngập sầu set 6 cái,"80,000"
4,Bánh Crepe Ngập Sầu Set 10 Cái,"130,000"
5,Bánh sầu riêng ngàn lớp - ổ 16 cm,"170,000"
6,Bánh Crepe Ngập Sầu Set 8 Cái,"105,000"
7,Bánh crepe sầu riêng set 2cái,"30,000"
8,Panna cotta(chanh dây),"15,000"
9,Panna cotta ( vị dâu),"15,000"
10,Panna cotta (việt quốc),"15,000"
11,Panna cotta(kiwi),"15,000"
12,Combo bánh sầu riêng ngàn lớp 16 cm + 2 crepe,"190,000"
13,Combo 4 Crepe + Sữa Chua Chai,"70,000"
14,Bánh Crep Khoai Môn ổ (12cm),"140,000"
15,Bánh Crep Khoai Môn ổ (16cm),"180,000"
