,Food,Price
0,Bánh Tráng Trộn Đầy Đủ,"24,000"
1,Bánh Tráng Dẻo Trộn Đầy Đủ,"25,000"
2,Bánh tráng cuốn,"24,000"
3,Bánh tráng muối nhuyễn,"18,000"
4,Bánh Tráng Cuốn Thập Cẩm Size Lớn,"30,000"
5,Bánh Tráng Dẻo Muối Nhiễn Ngon,"18,000"
6,Bánh Tráng Dẻo Trộn SaTế Hành Phi,"22,000"
7,Bánh tráng trộn,"24,000"
8,Bánh tráng me chấm,"10,000"
9,Bánh Tráng Xì Ke Tỏi Nhà Làm,"11,000"
10,Bánh tráng chấm mỡ hành,"22,000"
11,Bánh tráng mỡ hành,"22,000"
12,Bánh tráng trộn chay,"20,000"
13,Bánh tráng siêu cay,"10,000"
14,Trứng Cút Thêm,"12,000"
15,Cơm Cháy Mắm Hành Giòn Tan,"13,000"
16,Bánh Tráng Mắm Ruốc Đà Lạt,"25,000"
17,Bánh tráng dẻo trộn mỡ hành,"24,000"
18,Bánh tráng sate ớt tắc cay,"10,000"
19,Bánh tráng tỏi chấm,"10,000"
20,Khô gà lá chanh ( Lạng ),"32,000"
21,Bánh Tráng Tự Trộn,"25,000"
22,Bánh tráng phô mai,"18,000"
23,Xoài xanh chấm muối tây ninh,"18,000"
24,Bánh Tráng Dẻo Cuốn Bơ,"13,000"
25,Cơm cháy chà bông,"25,000"
26,Bánh Tráng Chấm Nước Xốt Mỡ Hành ,"22,000"
27,Bánh Tráng Dẻo Trộn Xã Tế Hành Phi Ăn Chay Được,"22,000"
28,Da heo cháy tỏi,"25,000"
29,Bánh Tráng Vị Phô Mai,"18,000"
30,Rong biển cháy tỏi,"25,000"
31,Bánh Tráng Muối Tỏi Hành Phi ,"14,000"
32,Bánh Tráng Dẻo Trộn Xa Tế Hành Phi,"22,000"
33,Bánh Tráng Trộn Mỡ Hành,"22,000"
34,Bánh Tráng Xì Ke,"10,000"
35,Trà Chanh,"17,000"
36,Trà Đào,"17,000"
37,Sữa chua việt quất,"22,000"
38,Nước cam ép,"17,000"
39,trà tắc,"17,000"
