,Food,Price
0,Cam vắt khổng lồ lớn,"25,000"
1,Rau má đậu xanh ly khổng lồ,"14,000"
2,Cam vắt chai nguyên chất,"30,000"
3,Trà tắc khổng lồ,"14,000"
4,Sâm bông cúc-mía lau( chai),"12,000"
5,Cam vắt khổng lồ,"20,000"
6,Nước sâm 24 vị ly khổng lồ,"16,000"
7,Cam ép chanh dây siêu ngon,"25,000"
8,Sâm bông cúc - mía lau(ly khổng lồ),"15,000"
9,Cam sữa ( ly khổng lồ),"18,000"
10,Milo sữa khổng lồ,"20,000"
11,Sâm 24vị (chai),"14,000"
12,Cam ép hạt chia( ly khổng lồ),"20,000"
13,Coca-cola + tẩy lớn,"15,000"
14,Bánh tráng cuốn 30k một hộp ,"30,000"
15,Lipton sữa,"15,000"
16,Nước chanh dây ly khổng lồ,"15,000"
17,Đá tắc,"12,000"
18,Trà đào không miếng đào( ly khổng lồ),"14,000"
19,Cam trái251kg,"25,000"
20,Nescafe sữa ly khổng lồ,"20,000"
