,Food,Price
0,Bún Bò (Tái Nạm Chả),"40,000"
1,Bún Bò - Tái Chả,"40,000"
2,Bún Bò - Nạm chả,"40,000"
3,Tô lớn Thêm - Nạm Chả,"50,000"
4,Đặc Biệt Nạm Chả - Giò Heo,"52,000"
5,Trà Tắc - Lắc Siêu Đỉnh,"14,000"
6,Trà Chanh Tươi - Siêu Best,"10,000"
7,Bánh Canh Thịt - Trứng Cút,"35,000"
8,Bánh Canh Đầy Đủ - Giò Heo,"50,000"
9,Hủ Tíu Bò Tái - Bò Viên,"37,000"
10,Hủ Tíu - Thịt Bò Viên,"35,000"
11,"Lấy Hộp , Muỗng , Đũa","3,000"
12,CB : 1 Bún Bò + Trà Chanh Lắc,"52,000"
13,CB : 1 Bún Bò + Trà Tắc Siêu Đỉnh.,"52,000"
14,Bún Thêm,"6,000"
15,Thịt Chả Thêm,"23,000"
16,Chả Thêm (3 Miếng),"12,000"
17,Giò Heo Thêm,"18,000"
18,Nước Lèo Thêm,"10,000"
19,Rau Giá Thêm - Nhỏ,"6,000"
20,Bánh Canh Thêm,"6,000"
21,Hủ Tíu Thêm,"6,000"
