,Food,Price
0,Bún bò Huế thập cẩm đặc biệt,"63,000"
1,Bún bò Huế,"49,000"
2,Bún bò Huế tái,"49,000"
3,Bún bò Huế nạm,"49,000"
4,Bún bò  giò,"49,000"
5,Sữa đậu nành ,"15,000"
6,Bún  bò bắp hoa,"63,000"
7,Phở bò tái,"49,000"
8,Bún  gân,"49,000"
9,Bún  tái gân,"49,000"
10,Bún Nạm  gân,"49,000"
11,Phở thập  cẩm đặc biệt,"63,000"
12,Phở tái gân,"49,000"
13,Phở  tái bắp hoa,"63,000"
14,Bún tái  gân,"49,000"
15,Phở bò gân,"49,000"
16,Lẩu Bò Cố Đô Lớn,"500,000"
17,Mật Ong Rừng Nguyên Chất 100 % 1Lit,"620,000"
