,Food,Price
0,Bún Thịt Nướng Trộn + Coca,"68,000"
1,Mỳ Quảng Bò Trộn + Coca,"68,000"
2,Mỳ Quảng Gà Trộn + Coca,"68,000"
3,Bún bò huế đặc biệt,"70,000"
4,Bún  gân  mọc tiết,"60,000"
5,Bún bò chín mọc,"60,000"
6,Bún thập cẩm móng giò,"60,000"
7,Bún luõi  mọc tiết,"60,000"
8,Hộp rau thêm ,"5,000"
9,Mỳ Quảng Bò trộn,"60,000"
10,Mỳ Quảng Gà trộn,"60,000"
11,Mỳ quảng t cẩm heo  trộn,"60,000"
12,Bún Thịt Nướng Trộn,"60,000"
13,Bún bò trộn Nam Bộ,"60,000"
14,Quẩy giòn,"10,000"
15,Giò bò lá,"20,000"
16,Bánh bột lọc 10c,"55,000"
17,Tiết bò thêm,"35,000"
18,Sữa đậu nành,"17,000"
19,Cô ca lạnh,"17,000"
20,Bò húc lạnh,"22,000"
21,Trà bí đao lon lạnh,"17,000"
22,Cam ép lon lạnh,"17,000"
23,Nước suối lạnh,"8,000"
24,Coca chai,"10,000"
25,Sprite,"17,000"
