,Food,Price
0,Coca Cola,"15,000"
1,Sting Đỏ,"15,000"
2,Trà Xanh Không Độ,"15,000"
3,7up,"15,000"
4,Sting Vàng,"15,000"
5,Bò Húc,"18,000"
6,Nước đóng chai Aquafina tinh khiết,"12,000"
7,Đảnh  Thạnh,"15,000"
8,Bún mắm nem chả,"25,000"
9,Bún Mắm Thịt luộc,"25,000"
10,Bún Mắm Tai Mui,"25,000"
11,Bún Mắm Chả Chiên,"25,000"
12,Bún mắm thập cẩm,"30,000"
13,Bún Mắm Thịt quay,"30,000"
14,Bún mắm thịt quay và chả chiên,"30,000"
15,Bún mắm thịt nem,"30,000"
16,Bún Mắm Thịt Quay Nem,"30,000"
17,Bún Mắm Thịt Quay Tai Mui,"30,000"
18,Bún Mắm Thịt Quay + Thịt Luộc,"35,000"
19,Bún Mắm Thịt Luộc Tai Mui,"30,000"
20,Bún Mắm Nem,"25,000"
21,Bún Mắm Thịt Luộc Chả Cây,"30,000"
22,Bún Mắm Nem Chả + Thịt Luộc,"35,000"
23,Bún Mắm Tai Mui Nem,"30,000"
24,Bún Mắm Chả Cây,"25,000"
25,Bún Mắm Thịt Quay Chả Cây,"30,000"
26,Bún Mắm Thịt Luộc Nem,"30,000"
27,Bún Mắm Thịt Luộc Chả Chiên,"30,000"
28,Tô Nhựa + Đũa,"2,000"
29,Tô Nhựa + Đũa + Muỗng,"3,000"
30,Ly Nhựa + ống Hút,"2,000"
31,Ly Nhựa,"1,000"
32,Mắm Nêm Hoà Sẵn (500ml),"90,000"
33,Kẹo Singum,"2,000"
34,Nem (1 Cái ),"7,000"
35,Chả Chiên (1 Lát ),"8,000"
36,Chả ( 1 Cây ),"7,000"
37,Tai Mui Thêm,"15,000"
38,Thịt Quay Thêm,"40,000"
39,Mít Thêm,"10,000"
40,Thịt Luộc Thêm,"20,000"
41,1 Lát Chả Chiên Tròn Lớn,"100,000"
42,"Thịt Quay Thêm + Thịt Luộc Thêm + Tai Mui Thêm (Thịt Quay 50 Ngàn,Thịt Luộc 20 Ngàn,Tai Mui 15 Ngàn)","85,000"
