,Food,Price
0,Bún đặc biệt,"50,000"
1,Bún đậu tá lả,"40,000"
2,Bún lá thịt luộc,"27,000"
3,Thịt Xiên (1xiên),"15,000"
4,Bún lá chả cốm,"27,000"
5,Bún đậu mắm tôm,"22,000"
6,Bún Đậu Thịt Xiên ,"37,000"
7,Chả cốm (1cái),"15,000"
8,Bún thêm,"5,000"
9,Nem chua rán (1cái),"10,000"
10,Nem rán hà nội (1cái),"10,000"
11,Đậu rán(1phần),"12,000"
12,Thịt thêm (1phần),"22,000"
13,Dồi sụn (1phần),"25,000"
14,Khoai Lang Kén,"23,000"
15,Mắm Tôm Thêm ,"5,000"
16,Rau Thêm  ,"7,000"
17,Trà tắc,"10,000"
18,Nước Sấu,"15,000"
19,Trà chanh,"12,000"
20,Trà Tắc Chanh Leo,"15,000"
21,Coca,"15,000"
22,Sting,"15,000"
23,Nước suối,"10,000"
24,Numberone,"15,000"
25,Pepsi,"15,000"
26,7 Up,"15,000"
27,Nước Mơ,"15,000"
28,Ôlong,"15,000"
29,C2,"15,000"
30,Trà xanh không độ,"15,000"
31,Nước Cam,"20,000"
32,Combo 1 Người ,"65,000"
33,Combo2 Người ,"130,000"
34,Combo 3 Người ,"195,000"
