,Food,Price
0,Óc heo chưng trứng,"25,000"
1,Bắp xào Tôm  khô ,"29,000"
2,KHOAI MÔN CHIÊN NƯỚC MẮM,"35,000"
3,Gà Tiềm  Thố ,"48,000"
4,ỐC BƯƠU HẤP TIÊU ,"30,000"
5,Ốc Bươu  Nướng Tiêu ,"50,000"
6,Khoai tây chiên,"17,000"
7,Nghêu Hấp sã ,"30,000"
8,Ốc Nhồi,"50,000"
9,Ốc Bươu Xào Mắm Tắc ,"30,000"
10,Me Ngâm Thái Lan  Kèm Muối Chấm ,"130,000"
11,CHAO  MÔN CỐT DỪA ,"55,000"
12,Muối Chấm  Hải  sản -set ,"60,000"
13,Mắm Thái chấm trái cây,"35,000"
14,Khoai Lang Mật ,"35,000"
15,Ba Khía Trộn Sẵn ,"70,000"
16,Muối chẩm chéo ,"30,000"
17,Đậu Đen Xanh Lồng ,"50,000"
18,ME SẤY  Thái Lan  ,"50,000"
19,Bộ Thớt Đa Năng ,"119,000"
20,Set Nấu Trà Sữa Thái Xanh,"70,000"
21,NỒI LẨU 2 ngăn - có chống dính,"279,000"
22,Tai Heo Ngâm ,"80,000"
23,Kem Tẩy vết ố  nhà bếp ,"39,000"
24,Nồi  Chiẻn Không Dầu (6l),"659,000"
25,Máy xay Tỏi Ớt ,"89,000"
26,Rau đà lạt - Tỏi Trồng tại đl ,"28,000"
27,Set Nấu Chè Khúc Bạch,"70,000"
28,Khô Bò Viên ,"140,000"
29,Set Nấu Trà Sữa ,"70,000"
30,Sốt Tiêu Đen ,"69,000"
31,MỨC TẮC ,"85,000"
32,CHÀ BÔNG GÀ ,"50,000"
33,Trà Tắc ,"12,000"
34,Nước Sấu HN ,"15,000"
35,Trà Đào,"15,000"
36,Nước Ngọt Lon ,"15,000"
37,Ép Khóm ,"20,000"
38,Đá Me ,"15,000"
39,Ép Chanh Dây ĐLạt,"18,000"
40,Ép Cam ,"18,000"
41,Trà Dâu ,"12,000"
42,Sinh Tố sầu  Riêng ,"60,000"
43,Cà Phê  sữa ,"18,000"
44,Trà Sữa Matcha Có Hạt,"20,000"
45,Trà Cam ,"15,000"
46,Trà Sữa Coffe Có Hạt,"20,000"
47,Trà  Sữa  Socola Có Hạt,"20,000"
48,Đá Dâu ,"15,000"
49,Ép Mận - Mộc Châu,"35,000"
50,Nước Suối ,"10,000"
51,Ép Cà Rốt Baby và Cần Tây ,"35,000"
52,Ép Cà Rốt Baby ĐLạt,"30,000"
53,Ép Táo và Thơm ,"35,000"
54,Ép Cà Chua Bi ĐLạt,"30,000"
55,Trà Sữa Hạt ,"15,000"
56,Chả cốm Hà Nội,"18,000"
57,Nem Rán Hà Nội,"25,000"
58,Đậu hủ Hà Nội ,"12,000"
59,Bánh Khoai Mỡ ,"12,000"
60,Bánh Khoai Lệ Phố,"15,000"
61,Chả hải sản nhân phô mai,"20,000"
62,Chả mực Hạ Long,"30,000"
63,Phô Mai Que ,"10,000"
64,Xúc  Xích Chả Cốm ,"12,000"
65,Xúc xích   Truyền Thống,"10,000"
66,Dồi  Sụm Chiên  ,"39,000"
67,Bánh Bột Lọc Huế  ,"22,000"
68,Cá Bò viên  Chiên,"20,000"
69,Bò Viên Chiên ,"35,000"
70,Sụm Gà Chiên N Mắm ,"50,000"
71,Hoành Thánh chiên ,"20,000"
72,Nem  Nưỡng Hữu Lũng ,"65,000"
73,Đùi gà chiên giòn ,"29,000"
74,ĐẬU  Hủ  chiên sã,"35,000"
75,Pizza truyền thống ,"68,000"
76,Nem Bơ Hà Thành,"25,000"
77,Bún Đậu Mắm Tôm,"60,000"
78,Bún Đậu Phố Nhỏ,"123,000"
79,Bún Đậu Thịt Bắp Giò ,"70,000"
80,Bún Đậu Lỗ Tai Heo,"70,000"
81,Bún Gõi Hữu Lũng ,"123,000"
82,Bún Thịt Nướng BBQ,"70,000"
83,Thêm  Bắp  Giò ,"25,000"
84,Thêm Bún ,"5,000"
85,Mắm Tôm ,"3,000"
86,Thêm Rau  xanh ,"5,000"
87,Thêm Bánh Tráng ,"2,000"
88,Thêm Tai  Heo ,"35,000"
89,Lòng Luộc  ,"80,000"
90,Thêm Rau Thập Cẩm ,"10,000"
91,Thêm Thịt Nướng BBQ,"40,000"
