,Food,Price
0,Combo sinh đôi đặc biệt,"110,000"
1,Combo sinh đôi đầy đủ,"100,000"
2,Combo sinh ba đặc biệt,"160,000"
3,Combo sinh ba đầy đủ,"140,000"
4,Bún đậu đặc biệt,"50,000"
5,Bún đậu đầy đủ,"40,000"
6,Bún đậu,"20,000"
7,Bún thêm,"5,000"
8,Bánh tráng,"5,000"
9,Đậu thêm,"10,000"
10,Chả cốm,"25,000"
11,Chả ram,"25,000"
12,Thịt heo,"25,000"
13,Rau thêm,"5,000"
14,Lòng rán,"20,000"
15,Combo Thêm,"50,000"
16,Nem rán,"20,000"
17,Dồi,"25,000"
18,Trà tắc,"10,000"
19,Soda phúc bồn tử,"15,000"
20,Soda dâu,"15,000"
21,Soda chanh dây,"15,000"
22,7up,"15,000"
23,Coca,"15,000"
24,Nước suối,"10,000"
