,Food,Price
0,Pizza bò (S),"89,000"
1,Chicken Pizza (S),"89,000"
2,Seafood Pizza (S),"99,000"
3,Salami Pizza (S),"89,000"
4,Hawai pizza (S),"89,000"
5,Pork Ribs Pizza (S),"99,000"
6,Pizza kim chi (S),"89,000"
7,Prawn Tempura Pizza (S),"99,000"
8,Chicago Pizza,"189,000"
9,Pizza bò (M),"149,000"
10,Chicken Pizza (M),"149,000"
11,Seafood Pizza (M),"149,000"
12,Hawai pizza (M),"149,000"
13,Salami Pizza (M),"149,000"
14,Pork Ribs Pizza (M),"159,000"
15,Prawn Tempura Pizza (M),"149,000"
16,Pizza kim chi (M),"149,000"
17,Pizza bò (L),"189,000"
18,Chicken Pizza (L),"189,000"
19,Seafood Pizza (L),"189,000"
20,Pork Ribs Pizza (L),"199,000"
21,Salami Pizza (L),"179,000"
22,Prawn Tempura Pizza (L),"199,000"
23,Hawai pizza (L),"189,000"
24,Pizza kim chi (L),"189,000"
25,Khoai tây lắc,"39,000"
26,Salad rau thập cẩm,"39,000"
27,Nem chua rán,"59,000"
28,Cánh gà chiên,"30,000"
29,Đùi gà chiên,"40,000"
30,Cánh gà chua ngọt,"30,000"
31,Bánh gạo lắc,"39,000"
32,Xúc xích rán,"15,000"
33,Má đùi chiên,"30,000"
34,Má đùi chua ngọt,"30,000"
35,Phô mai que,"69,000"
36,Đùi gà chua ngọt,"40,000"
37,Mì Ý sốt bò băm,"79,000"
38,Gà sốt cay phủ phô mai,"129,000"
39,SƯỜN NƯỚNG,"109,000"
40,Mì xúc xích sốt kem,"69,000"
41,Mực tẩm bột chiên,"69,000"
42,Mì Ý sốt hải sản,"99,000"
