,Food,Price
0,Bánh tráng mỡ hành,"15,000"
1,Bánh tráng sate hành phi,"15,000"
2,Bánh tráng trộn,"15,000"
3,Bánh Tráng Cuốn Trứng Mỡ Hành,"20,000"
4,Bánh Tráng Sate Tỏi Trộn Sẵn,"20,000"
5,Bánh tráng muối tỏi,"15,000"
6,Bánh tráng muối hành phi,"20,000"
7,Trà đào dầm (miếng),"25,000"
8,Trà Tắc,"15,000"
9,Trà Sữa Khoai Môn Kem Trứng Dừa Nướng,"30,000"
10,Cacao kem béo,"25,000"
11,Trà vải,"25,000"
12,Lục Trà Dưa Lưới,"25,000"
13,Trà Vải Hoa Hồng,"30,000"
14,Trà Ổi,"30,000"
15,Trà Khoai Môn Trân Châu,"25,000"
16,Trà Dâu Dầm Thạch Thuỷ Tinh,"25,000"
17,Trà Sữa Thập Cẩm,"35,000"
18,Trà Sữa Trân Châu,"30,000"
19,Matcha kem béo,"25,000"
20,Trà KiWi,"25,000"
21,Trà phúc bồn tử,"25,000"
22,Sữa Tươi Cafe Sương Sáo,"25,000"
23,Trà Lài Đác Thơm,"30,000"
24,Cacao kem trứng,"25,000"
25,Trà Đác Mận,"35,000"
26,Trà Sữa Socola Pudding,"30,000"
