,Food,Price
0,Bò bít tết 150g,"62,000"
1,Cơm chiên ba rọi xong khói,"34,000"
2,Bò bít tết 100g,"46,000"
3,Cơm Bò Lúc Lắc,"39,000"
4,Cừu 150g,"62,000"
5,Bò xào lúc lắc 150g,"62,000"
6,Cơm chiên trứng,"24,000"
7,Đà điểu lúc lắc 100g,"46,000"
8,Đà điểu Lúc Lắc 150g,"62,000"
9,Cừu 100g,"46,000"
10,Cơm chiên đà điểu,"39,000"
11,Bò xào lúc lắc 100g,"46,000"
12,Cá Sấu Sốt BBQ,"56,000"
13,Mỳ ý bò bằm phô mai,"37,000"
14,Mì ý bò bằm,"32,000"
15,Mì ý thịt nguội phô mai,"37,000"
16,Mì ý xúc xích bò bằm,"37,000"
17,Mì ý xúc xích phô mai,"37,000"
18,mỳ ý bơ tỏi,"10,000"
19,Mì ý xào bò rau củ,"37,000"
20,Trứng ốp la,"7,000"
21,cá ngừ trộn mayonnaise,"25,000"
22,bánh mì thêm,"8,000"
23,salad mayonnaise,"20,000"
24,Khoai tây chiên,"30,000"
25,Salad dầu giấm,"20,000"
26,Cơm Thêm,"10,000"
27,Xúc xích Tokyo,"12,000"
