,Food,Price
0,Prenn macchiato,"60,000"
1,Thanh xuân,"55,000"
2,Gạo,"55,000"
3,Prenn latte ( hot),"60,000"
4,Prenn latte ( ice),"60,000"
5,Olong đào sữa,"55,000"
6,Olong nhài Chaala,"55,000"
7,Olong Chaala,"55,000"
8,Ẩn hồng,"65,000"
9,Trà nho vải,"55,000"
10,Olong hoa xoài,"55,000"
11,Mộc lan,"55,000"
12,Xà nu,"55,000"
13,Olong xoài chanh,"55,000"
14,Trend,"55,000"
15,Lụa,"55,000"
16,Olong dâu,"55,000"
17,Trân châu gạo rang,"10,000"
18,Thạch trà đào,"5,000"
19,Thạch trà đen,"5,000"
20,Thạch dâu nho,"5,000"
21,Thạch cafe,"5,000"
22,Macchiato hazelnut,"10,000"
23,Matcha vani đá xay,"60,000"
24,Hạt dẻ lạnh,"60,000"
25,Mint chocolate ice blend,"60,000"
26,Hải âu,"45,000"
27,San hô,"45,000"
28,San hô ấm,"45,000"
29,Đen,"35,000"
30,Sữa chua dâu tây,"60,000"
31,Xúc xích,"45,000"
32,Hướng dương,"30,000"
33,Khoai tây chiên,"80,000"
34,Nem chua rán,"80,000"
35,Phô-mai que,"80,000"
