,Food,Price
0,Cơm chay gạo  st25,"40,000"
1,Cơm chay gạo lứt,"40,000"
2,Bún riêu chay Tịnh Thủy,"35,000"
3,Phở Chay,"35,000"
4,Giò chay 500g,"60,000"
5,Bánh mì pate hạt ,"27,000"
6,Cơm Rang rau củ,"40,000"
7,Cơm rang dưa  bò chay,"40,000"
8,Piza rau củ,"99,000"
9,Bánh  xèo nhật,"69,000"
10,Nem trái cây   (Hộp 6 cái ),"75,000"
11,Cơm tấm sườn bì chả,"55,000"
12,Giò nấm chay 500g,"60,000"
13,Cơm Tịnh Thuỷ đặc biệt,"50,000"
14,Piza sầu riêng,"120,000"
15,Nem chay (hộp 10 nem),"80,000"
16,Mít non kho 450g,"50,000"
17,Chuối chiên,"25,000"
18,Nước mía ép  Hoà Bình,"14,000"
