,Food,Price
0,Ếch Singapore Nhỏ + cháo Trắng Lá Dứa,"43,000"
1,Ếch Singapore sả ớt Nhỏ + cháo Trắng Lá Dứa ,"47,000"
2,Ếch Singapore Vừa + cháo Trắng Lá Dứa,"76,000"
3,Cháo Trắng Lá Dứa  thêm ,"12,000"
4,Ếch Singapore sả ớt Vừa + cháo Trắng Lá Dứa ,"79,000"
5,Ếch Singapore sate Nhỏ + cháo Trắng Lá Dứa ,"47,000"
6,Ếch Singapore sate Vừa  + cháo Trắng Lá Dứa ,"79,000"
7,Ếch Singapore Nhỏ ( Không Cháo),"37,000"
8,Ếch Singapore Vừa ( Không Cháo),"65,000"
9,Ếch Singapore Lớn + Cháo Trắng Lá Dứa ,"105,000"
10,Ếch Singapore Sả Ớt Lớn + Cháo Trắng Lá Dứa ,"110,000"
11,Ếch Singapore Sate Lớn + Cháo Trắng Lá Dứa ,"110,000"
12,Trà Đào,"19,000"
