,Food,Price
0,Chè sâm bổ lượng Bến Tre,"32,000"
1,Chè Đậu Thập Cẩm,"33,000"
2,Chè Bánh Lọt Sương Sáo,"30,000"
3,Chè đậu đỏ ,"30,000"
4,Chè Thái Sầu Riêng,"44,000"
5,Bánh Flan Thái,"35,000"
6,Sương Sâm Sương Sáo Hạt Đác,"38,000"
7,Chè đậu xanh + Hạt Sen cốt dừa,"32,000"
8,"Chè Bánh Lọt, Sương Sáo+Sương Sâm","33,000"
9,Milo Sữa + Flan,"34,000"
10,2 Bánh Flan trứng (kèm trân châu và nước cốt dừa),"32,000"
11,"Chè Sương Sáo, Đậu Đỏ + sương sâm","35,000"
12,"Chè Bánh Lọt ,Đậu Đỏ + Sương Sáo","35,000"
13,Sđt zalo 092.547.7929,800
14,Cơm Cháy Siêu Chà Bông,"85,000"
15,Yogurt Trái Cây Hạt Đác,"39,000"
16,Đá Me Hạt Dẻo và Hạt Đác,"35,000"
17,Yogurt hạt đác rim Chanh Dây,"35,000"
18,Yogurt hạt đác rim Dâu Tằm,"35,000"
19,Yogurts Hạt Đác Việt Quất,"35,000"
20,Ya-Ua hạt đác Granola,"45,000"
21,Chè Khoai Dẻo + Flan Trứng + Sương Sáo,"39,000"
22,Chè khoai dẻo Đậu Xanh Sen,"39,000"
23,Chè khoai dẻo Đậu Đỏ sương sáo,"39,000"
24,Khoai Dẻo Thập Cẩm,"39,000"
25,Chè khoai dẻo thạch tàu phớ,"39,000"
26,Hồng Trà Dâu Tây ,"32,000"
27,Trà Tắc Thảo Mộc Táo Đỏ,"32,000"
28,Hồng Trà Đào,"32,000"
29,Trà Dâu Người Yêu Cũ,"32,000"
30,Trà trái cây nhiệt đới,"36,000"
31,Trà Ổi Hồng,"32,000"
32,Lục Trà Xoài Đào,"32,000"
33,Lucky Tea,"32,000"
34,Hồng Trà Tắc Mật Ong,"29,000"
35,Hồng Trà Đẹp,"30,000"
36,Trà Đào Hibiscus,"38,000"
37,Trà Hibiscus Dâu Mix,"38,000"
38,Trà Bưởi Vita C,"38,000"
39,Hồng Trà Vải Dầm,"30,000"
40,Mojito Chanh Dây,"35,000"
41,Mojito Việt Quất,"35,000"
42,Trà sữa Trân Châu Flan Trứng ,"37,000"
43,Trà sữa trân châu 3Q (chai 330ml),"35,000"
44,Trà sữa Choco,"34,000"
45,Matcha Sữa ,"35,000"
46,Trà Sữa Oolong Nướng ,"34,000"
47,Trà Sữa Thái Đỏ,"34,000"
48,Khoai Môn Dẻo,"12,000"
49,Sương Sáo,"10,000"
50,Trân Châu 3Q caramel ,"10,000"
51,Thơm và Cam,"35,000"
52,"Táo, Thơm và Ổi","37,000"
53,Nước Ép Ổi Dâu Tây,"35,000"
54,Cần Tây Táo và Cam,"37,000"
55,Cam và Cà Rốt,"35,000"
56,"Cần Tây, Thơm và Cam","37,000"
57,Táo và Ổi,"35,000"
58,Nước ép Ổi,"35,000"
