,Food,Price
0,Chè Thái Sầu Riêng,"35,000"
1,Chè Bưởi,"27,000"
2,Chè Thập Cẩm,"34,000"
3,Chè Dừa Non,"30,000"
4,Chè Khoai Dẻo Caramen,"34,000"
5,Chè dừa non sầu riêng,"34,000"
6,Chè dừa non hạt đác,"34,000"
7,Chè khúc bạch cốt dừa,"34,000"
8,Chè Thái Không Sầu,"32,000"
9,Sâm Dứa Phomai,"30,000"
10,Chè dừa non kem tươi,"34,000"
11,Chè Khoai Dẻo Cốt Dừa,"30,000"
12,Chè Bưởi Hạt Đác,"32,000"
13,Caramen Trân Châu Đường Đen ,"32,000"
14,Khoai Dẻo Caramen,"34,000"
15,Chè Mít Sầu Riêng,"34,000"
16,Quy Linh Caramen,"27,000"
17,Tàu Hũ Sầu,"32,000"
18,Rau Câu 3 Màu,"27,000"
19,Sữa Chua Mít,"27,000"
20,Sữa Chua caramen,"27,000"
21,Sữa Chua Hạt Đác,"27,000"
22,Sữa Chua Trân châu thạch,"27,000"
23,Sữa Chua Mít Sầu,"32,000"
24,Sữa Chua Mít Hạt Đác,"32,000"
25,Sữa Chua Việt Quất Thạch,"25,000"
