,Food,Price
0,Chè thái,"35,000"
1,Chè Thái đặc biệt,"46,000"
2,Chè sâm bổ lượng,"30,000"
3,Chè bánh flan hạt chia,"35,000"
4,Chè hạt sen nhãn nhục,"30,000"
5,Chè củ năng hạt sen,"30,000"
6,Dừa pha lê,"40,000"
7,Long nhãn thái,"30,000"
8,Kem Bơ,"42,000"
9,Kem Trái Cây,"35,000"
10,Kem Flan phần,"35,000"
11,Kem Flan hộp,"12,000"
12,Kem Trái Dừa,"55,000"
13,Kem Socola,"35,000"
14,Kem Dâu,"35,000"
15,Kem Sầu Riêng,"35,000"
16,Kem Dừa (ly),"35,000"
17,Kem Khoai Môn,"35,000"
18,Trà sữa trân châu,"35,000"
19,Trà sữa thập cẩm,"40,000"
20,Trà sữa bánh flan,"40,000"
21,Trà sữa socola,"35,000"
22,Trà sữa bạc hà,"35,000"
23,Trà sữa socola - bạc hà,"40,000"
24,Trà sữa hạt trái cây,"35,000"
25,Trà sữa dâu,"35,000"
26,Trà sữa đào,"35,000"
27,Trà sữa chanh dây,"35,000"
28,Trà sữa mật ong,"35,000"
29,Trà sữa vải,"35,000"
30,Trà sữa kiwi,"35,000"
31,Trà sữa nho,"35,000"
32,Trà sữa táo xanh,"35,000"
33,Trà sữa phúc bồn tử,"35,000"
34,Sinh tố bơ sữa,"40,000"
35,Sinh tố dâu,"40,000"
36,Sinh tố sầu riêng,"55,000"
37,Sinh tố sapoche,"35,000"
38,Sinh tố xoài,"35,000"
39,Sinh tố thập cẩm,"35,000"
40,Sinh tố đu đủ,"35,000"
41,Nước ép cóc - ổi,"40,000"
42,Nước ép thơm,"35,000"
43,Nước ép cóc,"35,000"
44,Nước ép dưa hấu,"35,000"
45,Nước ép ổi,"35,000"
46,Nước ép thơm - gừng,"35,000"
47,Nước cam đường,"40,000"
48,Nước ép dâu,"40,000"
49,Nước cam mật ong,"50,000"
50,Nước ép cà rốt - dâu,"40,000"
51,Nước ép cà rốt,"35,000"
52,Nước ép tổng hợp,"40,000"
53,Sữa chua phô mai,"15,000"
54,Dâu dằm sữa chua,"40,000"
55,Sữa chua ngũ sắc,"40,000"
56,Dâu dằm sữa,"35,000"
57,Sữa chua phô mai đá,"35,000"
58,Sữa chua dâu (nước uống),"40,000"
59,Sữa chua thanh long (nước uống),"35,000"
60,Ca cao,"30,000"
61,Sữa chua cam (nước uống),"40,000"
62,Sữa chua dưa hấu (nước uống),"35,000"
63,Cà phê sữa đá,"25,000"
64,Cà phê đen đá,"25,000"
65,Cà phê đen nóng,"25,000"
66,Cà phê sữa nóng,"25,000"
67,Trà Lipton,"25,000"
68,Lipton sữa,"25,000"
69,Chanh muối,"25,000"
70,Nước chanh,"25,000"
71,Sữa tươi nóng,"25,000"
72,Bạc xỉu nóng,"25,000"
73,Bạc xỉu đá,"25,000"
