,Food,Price
0,Chè bưởi (nên ăn thử trước khi cho đá ),"22,000"
1,Chè đậu đỏ hạt sen,"22,000"
2,Chè đậu xanh,"15,000"
3,Sương Sáo Đài Loan,"25,000"
4,Chè thập cẩm,"22,000"
5,Tàu hủ sữa,"15,000"
6,Chè đậu đỏ ngự,"22,000"
7,Chè đậu ngự cốt dừa tươi,"22,000"
8,Chè Thái,"25,000"
9,Chè dừa dầm,"25,000"
10,Chè Thái không sầu riêng,"20,000"
11,Tàu hủ sầu riêng,"20,000"
12,Chè dừa thốt nốt,"25,000"
13,Sầu riêng thốt nốt,"30,000"
14,Sầu riêng cốt dừa,"30,000"
15,Sữa chua trái cây,"25,000"
16,Yaourt mít Hà Nội,"22,000"
17,Sinh tố,"22,000"
18,Bơ kem,"35,000"
19,Kem Flan,"12,000"
20,Rau câu dĩa,"12,000"
21,Sữa chua nếp cẩm,"18,000"
22,Rau câu phô mai,"15,000"
23,Rau câu trái dừa,"40,000"
24,Flan sầu riêng,"18,000"
25,Sữa chua đá,"12,000"
