,Food,Price
0,Gỏi cuốn Tôm Thịt,"9,000"
1,Vịt lộn,"9,000"
2,Gỏi Cuốn Tôm Lỗ Tai Heo,"9,000"
3,Gỏi Cuốn Tôm Thịt Đặc Biệt,"13,000"
4,Gỏi Cuốn Tôm,"9,000"
5,Bì Cuốn ,"9,000"
6,Gỏi Đu Đủ Tôm Lỗ Tai Heo,"35,000"
7,Bún Mắm Nêm Tôm Thit,"40,000"
8,Bún riêu cua,"40,000"
9,Vịt Lộn ,"9,000"
10,Gỏi Đu Đủ Bò Kho,"35,000"
11,Gỏi Cuốn Tôm Thịt Vip,"16,000"
12,Bún Bì,"40,000"
13,Canh Bún Cua ,"40,000"
14,Bánh Mì Phá Lau,"40,000"
15,Bún Mắm Nêm Thập Cẩm,"50,000"
16,Bún Tàu Hủ Nước Tương ,"35,000"
17,Mì Gói Phá Lau,"45,000"
18,Bún Mắm Nem Tôm Lỗ Tai Heo,"45,000"
19,Banh Mi Them,"5,000"
20,Bánh Mì Bì,"20,000"
21,Mì Gói Them,"5,000"
22,Combo 8 Gỏi cuốn Tôm Thịt,"72,000"
23,Combo 8 Cuốn Tôm Lỗ Tai Heo,"72,000"
24,Combo 8 Bì Cuốn,"72,000"
25,Combo 1 Bún Mắm Nêm + 1  Đá me + 1  Yaourt,"64,000"
26,Rau má đậu xanh khổng lồ,"15,000"
27,Trà tắc,"13,000"
28,Đá me,"17,000"
29,Cam vắt khổng lồ,"20,000"
30,Tác Xì Muội Không Lo,"20,000"
31,Chanh dây,"15,000"
32,Chanh muối,"15,000"
33,Cà phê sữa,"20,000"
34,Nước ngọt Các Loai,"15,000"
35,Cà phê đá,"15,000"
