,Food,Price
0,Cơm cá hồi,"120,000"
1,Cơm gà BBQ phủ phô mai,"100,000"
2,Cơm cồi điệp,"75,000"
3,Cơm bò,"70,000"
4,Cồi điệp phô mai trứng bánh mì,"75,000"
5,Khoai tây chiên,"20,000"
6,Cơm sườn phủ phô mai,"100,000"
7,Gà viên lắc phô mai,"35,000"
8,Cơm gà BBQ,"90,000"
9,Chả giò phô mai,"65,000"
10,Hủ tiếu chảo,"65,000"
11,Mì gà quay da giòn sốt cay,"100,000"
12,Gà viên chiên,"30,000"
13,Khoai tây lắc phô mai,"25,000"
14,Cồi điệp phô mai trứng,"70,000"
15,Cơm tôm,"75,000"
16,Chả giò Hồng Kông,"55,000"
17,Gà quay da giòn sốt cay +  bánh mì,"100,000"
18,Cơm gà BBQ sốt cay,"95,000"
19,Cơm gà quay da giòn sốt cay,"100,000"
20,Cơm sườn sốt cay,"95,000"
21,Mì gà BBQ sốt cay,"95,000"
22,Mì cồi điệp,"75,000"
23,Mì gà,"55,000"
24,Mì Ý sốt bò bằm,"65,000"
25,Mì Ý thịt xông khói sốt kem,"75,000"
26,Mì Ý sốt bò bằm & sốt kem,"75,000"
27,Mì Ý gà sốt kem,"75,000"
28,Mì Ý hải sản,"100,000"
29,Mì Ý thịt xông khói cuộn nấm,"80,000"
30,Mì Ý cá hồi sốt kem,"120,000"
31,Mì Ý hải sản sốt kem,"110,000"
32,Bít tết bò,"80,000"
33,Bít tết gà,"65,000"
34,Bít tết bò Úc,"150,000"
35,Hamburger,"70,000"
36,Cà ri gà,"70,000"
37,Cà ri cá hồi,"95,000"
38,Cà ri bò,"75,000"
39,Cà ri tôm,"80,000"
40,Cà ri heo rừng,"90,000"
41,Cà ri bò và hamburger,"95,000"
42,Cà ri Nai,"90,000"
43,Bít tết bò sốt tiêu xanh,"90,000"
44,Bò cuộn phô mai,"100,000"
45,Bò kho,"65,000"
46,Hamburger sốt tiêu xanh,"85,000"
47,Heo rừng Cocha Micha,"80,000"
48,Bít tết bò Úc sốt tiêu xanh,"160,000"
49,Cồi điệp & tôm,"85,000"
50,Bò + gà  + cá hồi,"160,000"
51,Bít tết bò & hamburger,"120,000"
52,Lẩu cá hồi Thái Lan - bún,"135,000"
53,Lẩu Thái Lan + bún,"105,000"
54,Lẩu cá hồi Hàn Quốc + mì,"140,000"
55,Lẩu Hàn Quốc + mì,"110,000"
56,Pancake hải sản,"110,000"
57,Pancake cá hồi,"125,000"
58,Pancake heo,"70,000"
59,Pancake còi điệp,"80,000"
60,Pancake mực,"80,000"
61,Pancake tôm,"80,000"
62,Cơm cháy gạo đen hải sản,"110,000"
63,Cơm cháy trà xanh mực,"80,000"
64,Cơm cháy trà xanh hải sản,"110,000"
65,Cơm cháy gạo đen heo,"70,000"
66,Cơm cháy gạo đen mực,"80,000"
67,Cơm cháy gạo đen tôm,"80,000"
68,Xà lách trộn dầu giấm,"10,000"
69,Bắp xào bơ,"22,000"
70,Cơm Hoàng Kim,"10,000"
71,Bánh mì,"5,000"
72,Mì Ý,"12,000"
73,Cải thìa xào,"20,000"
74,Rau thêm,"12,000"
75,Bún lẩu,"5,000"
76,Mì lẩu,"18,000"
77,Mì,"8,000"
78,Chè khúc bạch,"25,000"
79,Sữa chua nếp cẩm,"28,000"
80,Chanh dây soda,"22,000"
81,Kem tuyết việt quất,"22,000"
82,Kem tuyết đào,"22,000"
83,Kem tuyết kiwi,"22,000"
84,Kem tuyết vải,"22,000"
85,Kem tuyết phúc bồn tử,"22,000"
86,Dâu soda,"22,000"
87,Bạc hà soda,"22,000"
88,Cam vắt,"20,000"
89,Sâm dứa hạt é,"18,000"
90,Trà chanh,"15,000"
91,Trà đào,"25,000"
92,Nước sâm,"10,000"
93,7 Up,"15,000"
94,Fanta,"15,000"
95,Coca cola,"15,000"
96,Tiger,"25,000"
