,Food,Price
0,Coca Cola,"15,000"
1,Sữa ngô nhà làm,"18,000"
2,Bò Húc,"18,000"
3,Nước Cam,"15,000"
4,7 Up,"15,000"
5,Nước Suối,"10,000"
6,Bánh Tráng Cuốn Thịt Heo Quay,"50,000"
7,Bánh Tráng Cuốn Thịt Heo Luộc,"45,000"
8,Bún Mắm Thịt Heo Quay,"40,000"
9,Mỳ Thập Cẩm,"40,000"
10,Mì Quảng gà,"40,000"
11,Trứng vịt lộn nướng muối ớt,"15,000"
12,Mì Quảng tôm thịt,"40,000"
13,Bún Mắm Thịt Heo Luộc,"38,000"
14,Mỳ quảng đặc biệt,"60,000"
15,Nộm vịt lộn,"40,000"
16,Combo Bao No,"52,000"
17,Lẩu bò chua cay,"240,000"
18,Bò nướng bơ,"240,000"
