,Food,Price
0,Bánh mì que Pháp đặc biệt,"18,000"
1,Trà sữa,"18,000"
2,Bánh mì Chả Cá ĐẶC BIỆT + Nước Uống,"45,000"
3,Bánh Mì Chả Cá Ốp La +  Nước Uống,"45,000"
4,Bánh mì CHẢ CÁ NHA TRANG,"25,000"
5,Bánh mì CHẢ CÁ + ỐP LA,"32,000"
6,Bánh mì chả cá Nha Trang ĐẶC BIỆT,"32,000"
7,Bánh mì ỐP LA,"22,000"
8,Bánh mì que Pháp,"15,000"
9,TRÀ TẮC THÁI (best seller),"18,000"
10,Ca cao sữa,"18,000"
11,Cà phê sữa,"18,000"
12,Cà phê sữa tươi,"18,000"
13,Cà phê đen,"18,000"
14,Bánh Mì Chả Cá + Nước Uống,"40,000"
15,Bánh Mì Que Pháp ĐẶC BIỆT + Nước Uống,"33,000"
16,Bánh Mì Ốp La + Nước Uống,"37,000"
17,BÁNH MÌ QUE PHÁP + Nước Uống,"30,000"
18,1kg Chả Cá Nha Trang,"190,000"
19,"0,5kg Chả Cá Nha Trang","99,000"
20,1 Bịch Kem Chuối Tươi,"10,000"
21,10 Bịch Sữa Chua Nhà Làm,"45,000"
22,1 bịch Sữa Chua,"5,000"
23,10 Bịch Kem Chuối Tươi,"95,000"
