,Food,Price
0,Hồng trà oreo kem cake,"30,000"
1,Hồng trà kem trứng muối,"30,000"
2,Khoai lang tím kem trứng,"30,000"
3,Matcha kem cake,"30,000"
4,Trà sữa nướng,"25,000"
5,Socola kem cake,"30,000"
6,Trà bá tước kem trứng,"30,000"
7,TS kem dừa nướng,"30,000"
8,Hạt sen kem dừa,"30,000"
9,Than tre kem trứng,"30,000"
10,Sữa tươi trân châu đường đen,"30,000"
11,Trà sữa khoai lang tím,"30,000"
12,Trà sữa than tre,"25,000"
13,TS full topping,"25,000"
14,Hồng trà sữa trân châu,"25,000"
15,Trà sữa socola,"25,000"
16,Trà sữa trân châu đường đen,"30,000"
17,Hồng trà kem cheese,"30,000"
18,Matcha kem cheese ,"30,000"
19,Bạc xỉu,"30,000"
20,Cà phê cốt dừa,"30,000"
21,Cà phê kem dừa,"30,000"
22,Cà phê sữa đá,"25,000"
23,Cà phê khoai lang tím,"30,000"
24,Trân châu đường đen,"5,000"
25,Kem cheese ,"7,000"
26,Kem trứng ,"7,000"
27,Kem dừa,"7,000"
28,Kem cake,"7,000"
29,Nha đam,"5,000"
30,Trần châu 3q,"5,000"
