,Food,Price
0,Combo 2 Nem Nướng Nha Trang + 1 Nem Chua Rán Hà Thành +1 Chân Gà Sả Ớt,"195,000"
1,Combo Nem Nướng Nha Trang + Coca,"65,000"
2,Combo 2 Nem Nướng Nha Trang + 2 Coca,"129,000"
3,Combo Nem Nướng Nha Trang + Sprite up,"65,000"
4,Combo 3 Nem Nướng Nha Trang + 3 Coca + Nem chua rán,"242,000"
5,Combo 2 Nem Nướng Nha Trang+2 Sprite Up,"129,000"
6,Combo 2 Nem Nướng + 2 Pepsi,"129,000"
7,Combo Nem Nướng + Pepsi,"65,000"
8,Combo 2 Nem Nướng Nha Trang + 1 Nem Chua Rán +2 Pepsi ,"178,000"
9,Combo 3 Nem Nướng Nha Trang + 1 Nem Chua Rán Hà Thành,"195,000"
10,Combo 2 Nem Nướng Nha Trang + 1 Nem Chua Rán Hà Thành + Coca Hoặc Pepsi,"160,000"
11,ComBo 3 Nem Nương Nha Trang+1Chân Gà Rút Xương+1Nem Chua Rán,"245,000"
12,Combo Cặp Đôi,"129,000"
13,Combo Đầy Đủ,"245,000"
14,Combo Ăn Ngon,"196,000"
15,Combo  2 Nem Nướng + 1 Nem Chua Rán+ 1 Chân Gà rút Xương,"195,000"
16,Combo Vui Vẻ,"179,000"
17,Nem Nướng Nha Trang,"48,800"
18,Nước Sốt Chấm (cốc),"6,000"
19,Suất Đặc Biệt - Nem Nướng Nha Trang,"59,000"
20,Chân Gà Rút Xương,"45,000"
21,Nem Chua Rán Hà Thành,"45,000"
22,Bánh Bột Lọc,"49,000"
23,Chân Gà Rút Xương Ngân Sả Ớt,"45,000"
24,Nem thêm,"23,000"
25,Nem Thêm ,"15,000"
26,Khoai Lang Kén Chiên Giòn,"45,000"
27,Cốc Nước Chấm,"6,000"
28,Rau Thêm,"15,000"
29,Trà Đào,"16,000"
30,Trà Quất,"16,000"
31,Sữa Đậu,"16,000"
32,Trà Chanh,"16,000"
33,Nước Chanh Tươi,"20,000"
34,Coca Chai,"16,000"
35,Sprite up ,"16,000"
36,Pepsi Chai ,"16,000"
37,Coca Cola,"16,000"
