,Food,Price
0,Đùi Gà Tần,"50,000"
1,Trứng Vịt Lộn,"12,000"
2,Cánh Gà Tần,"35,000"
3,Mỳ đùi gà tần,"60,000"
4,Hai bộ lòng tần lá ngải,"30,000"
5,Mỳ Cánh Gà Tần,"42,000"
6,Óc Tần Lá Ngải Một Bộ,"50,000"
7,Gà Ác Tiềm Thuốc Bắc ,"100,000"
8,Mỳ Gà Tần ,"42,000"
9,2 Lườn Gà Tần,"30,000"
10,Tim Tần Thuốc Bắc Lá Ngải,"50,000"
11,Mỳ Trứng tần,"35,000"
12,"Móng giò Hầm Thuốc Bắc, Hạt Sen Lá Ngải","50,000"
13,Mì Lòng tần ,"30,000"
14,Mỳ Tim Heo Hầm Lá Ngải,"42,000"
15,"Móng giò Hầm Thuốc Bắc , Hạt Sen Táo Tàu","50,000"
16,"Dạ dày hầm thuốc bắc , hạt sen , táo tàu lá ngải","60,000"
17,Redbull,"18,000"
18,"Bát Giấy,thìa Đũa ","5,000"
19,"Bát Nhựa , Thìa Đũa ","5,000"
20,Coca 390ml,"15,000"
21,Cocalon ,"15,000"
22,Cánh Gà +1 Cocalon,"45,000"
23,Cam Splash  ,"15,000"
24,Trứng Vịt Tần+1cocalon ,"26,000"
25,Mỳ Trứng Tần +1 Cocalon,"50,000"
