,Food,Price
0,Thập cẩm đặc biệt (nước),"78,000"
1,Mực đặc biệt (nước),"68,000"
2,Tôm bình thường (nước),"58,000"
3,Mực bình thường (nước),"58,000"
4,Tôm đặc biệt (nước),"68,000"
5,Thập cẩm đặc biệt (khô),"78,000"
6,Mực bình thường (khô),"58,000"
7,Tôm bình thường (khô),"58,000"
8,Tôm đặc biệt (khô),"68,000"
9,Mực đặc biệt (khô),"68,000"
10,Bánh mì bò kho,"65,000"
11,Hủ tiếu bò kho ,"65,000"
12,Mì bò kho ,"65,000"
13,Mì thêm,"8,000"
14,Củ cải chua cay thêm,"7,500"
15,Chén tôm thêm,"35,000"
16,Hủ tiếu thêm(Đã trụng),"11,000"
17,Chén mực thêm,"35,000"
