,Food,Price
0,Bánh tráng trộn,"20,000"
1,Da heo,"6,000"
2,Trứng gà,"6,000"
3,Trứng cút,"2,000"
4,Nem (1 Cái),"6,000"
5,Bánh tráng muối,"6,000"
6,Bánh Tráng Cuốn,"20,000"
7,Tré Trộn,"30,000"
8,Xoài trộn,"22,000"
9,Mì Trẻ Em (6 bịch),"12,000"
10,Bánh Tráng Chấm,"20,000"
11,Bánh Tráng Sì Ke,"10,000"
12,Bánh Tráng Chấm Bịch,"10,000"
13,Nui Chiên,"17,000"
14,Bánh Tai Heo,"17,000"
15,Bánh Tráng Trộn Lớn,"30,000"
16,Thèo Lèo,"17,000"
17,Bánh sâu,"17,000"
18,Chả  Cây,"6,000"
19,Bánh tráng bơ (lớn),"15,000"
20,Bánh tráng tỏi,"10,000"
