,Food,Price
0,Cơm thịt kho trứng,"19,000"
1,Cơm thịt kho tiêu,"19,000"
2,Cơm gà chiên nước mắm,"19,000"
3,Cơm cá lóc chiên,"19,000"
4,Cơm thịt kho tàu hủ,"19,000"
5,Cơm sườn nướng,"19,000"
6,Cơm gà ram me,"23,000"
7,Cơm cá trê kho,"19,000"
8,Cơm gà nướng,"19,000"
9,Cơm cá rô kho,"19,000"
10,Cơm cá tra kho,"19,000"
11,Cơm cá biển chiên,"19,000"
12,Cơm gà kho rau răm,"19,000"
13,Cơm đùi gà rán,"25,000"
14,Cơm cánh gà rán,"25,000"
15,Cơm đùi gà khìa,"23,000"
16,Cơm cá lóc kho,"19,000"
17,Cơm gà kho rừng,"19,000"
18,Cơm cá rô chiên,"19,000"
19,Cơm cá tra chiên,"19,000"
20,Cơm gà kho sả,"19,000"
21,Cơm gà kho lagu,"19,000"
22,Cơm thêm mang về,"2,000"
23,Cánh gà rán,"18,000"
24,Đùi gà khìa,"18,000"
25,Cơm không,"5,000"
26,Canh thêm,"2,000"
27,Thức ăn thêm,"15,000"
28,Đùi gà rán,"18,000"
