,Food,Price
0,Cơm chiên Dương Châu Hoàng Kim,"55,000"
1,Cơm chiên xá xíu,"45,000"
2,Cơm Chiên Hải Sản Hoàng Kim,"60,000"
3,Cơm chiên Huế (Cay),"49,000"
4,Cơm Chiên Dưa Bò,"50,000"
5,Cơm Chiên Dương Châu,"45,000"
6,Cơm chiên hải sản,"50,000"
7,Cơm chiên gà xé,"40,000"
8,Cơm chiên cháy tỏi,"35,000"
9,Cơm Gà Bắp Sốt Cay,"65,000"
10,Cơm Gà Sốt Cay,"55,000"
11,Cá viên,"10,000"
12,Xúc xích,"15,000"
13,Xá xíu,"17,000"
14,Gà xé,"15,000"
15,Trứng ốp la 1 mặt,"12,000"
16,Trứng ốp lết,"12,000"
17,Trứng ốp la 2 mặt,"12,000"
18,Bắp Xào Phô Mai,"39,000"
19,Xúc Xích Trùm Phô Mai,"25,000"
20,Chân Gà Rút Xương Sốt Thái,"79,000"
21,Trứng Cút Sốt Me,"30,000"
22,Bắp Sốt Cay Phô Mai,"40,000"
23,Khoai Tây Chiên Sốt Mayo Hồng,"45,000"
24,Tokbokki Sốt Cay Phô Mai,"60,000"
25,Mì Ý Sốt Bò Bằm,"55,000"
26,Mì Ý Bò Bằm Xúc Xích,"69,000"
27,Nui Bò Bằm Xúc Xích,"69,000"
28,Trà Tắc Xí Muội,"25,000"
29,Trà Phúc Bồn Tử,"30,000"
30,Trà Đào Sả Tắc,"35,000"
31,Soda Đào,"30,000"
32,Trà Đào,"30,000"
33,Soda Deep Blue,"30,000"
34,Sữa Chua Đào,"35,000"
35,Sữa Chua Phúc Bồn Tử,"35,000"
36,Trà Tắc,"20,000"
