,Food,Price
0,Cơm tự chọn,"30,000"
1,Bì cuốn 4 cái,"25,000"
2,Bún mọc chay,"35,000"
3,Bún tươi chả giò,"30,000"
4,Bún bì giò chả,"35,000"
5,Xôi khúc,"15,000"
6,Chả giò,"30,000"
7,Bánh cuốn,"25,000"
8,Bánh mì bì,"18,000"
9,Bún bì,"30,000"
10,Gừng Sã Tắc,"15,000"
11,Trà sữa truyền thống,"30,000"
12,Hồng trà,"15,000"
13,Sữa Đậu Nành,"15,000"
14,Lục trà vải,"25,000"
15,Trà miếng đào,"25,000"
16,Trà sữa không thạch,"20,000"
17,Sữa tươi trân châu đường đen,"30,000"
18,Lục trà việt quất,"25,000"
19,Trà thái xanh,"32,000"
20,Lục trà thơm,"25,000"
21,Trà Thái đỏ,"32,000"
22,Lục trà táo,"25,000"
23,Lục trà phúc bồn tử,"25,000"
24,Lục trà kiwi,"25,000"
25,Lục trà chanh dây,"25,000"
