,Food,Price
0,Cơm bò xào,"39,000"
1,Cơm dương châu,"37,000"
2,Cơm cá mặn,"39,000"
3,Cơm đùi gà,"39,000"
4,Cơm gà viên sốt hàn,"39,000"
5,Cơm gà xé,"39,000"
6,Cơm cốt lết,"37,000"
7,Cơm trứng chiên,"32,000"
8,Cơm lạp xưởng,"32,000"
9,Nui xào bò,"39,000"
10,Mì xào bò,"39,000"
11,Nui đùi gà,"39,000"
12,Mì đùi gà,"39,000"
13,Nui Gà Viên,"39,000"
14,Mì Gà Viên,"39,000"
15,Trứng,"5,000"
16,Canh Rong Biển,"7,000"
17,Bò + rau,"25,000"
18,Canh Súp,"7,000"
19,Lạp xưởng,"17,000"
20,Đùi gà,"25,000"
21,Cốt lết,"20,000"
22,Gà viên ,"25,000"
