,Food,Price
0,Bò trứng phô mai  pate,"95,000"
1,Bò và trứng,"80,000"
2,Bò trứng pate xúc xích,"95,000"
3,Phá lấu bánh mì,"45,000"
4,Phá Lấu Mì Gói ,"45,000"
5,Bún Thái Tôm ,"49,000"
6,Bún Thái Mực ,"49,000"
7,Bún thái thập cẩm,"55,000"
8,Cơm Cháy Chà Bông,"28,000"
9,Bánh Tráng Mỡ Hành,"15,000"
10,Cơm Cháy Khô Gà,"32,000"
11,Bánh Tráng Lắc Muối Tỏi,"15,000"
12,Trứng Gà Nướng Bơ Nhân Xúc Xích ,"35,000"
13,Trứng Gà Nướng Bơ Nhân Chà Bông ,"30,000"
14,Trứng Gà Nướng Bơ Nhân Khô Gà,"35,000"
15,Bánh Tráng Mỡ Hành ,"15,000"
16,Bánh tráng trộn thập cẩm,"35,000"
17,Bánh Tráng Khô Gà,"20,000"
18,Bánh Tráng Khô Mực Sấy,"20,000"
19,Xoài Lắc ,"25,000"
20,Trứng Gà Nướng Bơ Ko ,"30,000"
21,Trứng Gà Nướng Bơ Nhân Phô Mai ,"35,000"
22,Trứng Gà Nướng Bơ Nhân Khô Mực Sấy ,"35,000"
