,Food,Price
0,Cơm Canh Chua Cá,"49,500"
1,Cơm Sườn Non Rim/ Sườn Non Kho,"45,000"
2,Cơm Heo Quay Đặc Biệt ,"49,500"
3,Cơm Heo Quay Kho Cải Chua,"49,500"
4,Cơm Thịt Kho Tiêu,"40,500"
5,Cơm Thịt Kho Tàu ,"40,500"
6,Cơm Cá Kho Tộ,"39,600"
7,Cơm Heo Ba rọi Chiên hoặc  sốt hoặc Khìa đậm đà,"45,000"
8,Cơm Thịt Nướng hoặc Nem nướng Mật Ong,"45,000"
9,Cơm Xíu Mại Sốt Cà,"40,500"
10,Cơm cánh gà chiên nước mắm,"40,500"
11,Canh Khổ Qua/ trái,"22,500"
12,Cơm Đậu Hủ Dồn Thị Sốt Cà,"39,600"
13,Cơm Thịt Luộc,"40,500"
14,Cơm Tôm Ram Thịt/Tôm Ram,"42,300"
15,Cơm Cá Ngừ Kho Thơm,"41,400"
16,Cơm Cá Nục Chiên/ Sốt/ Kho,"41,400"
17,Cơm Nem Nướng Lửa Hồng,"45,000"
18,Cơm  Gà Chiên / Sốt,"40,500"
