,Food,Price
0,Cơm gà đùi xối mỡ,"37,000"
1,Cơm bò lúc lắc,"37,000"
2,Cơm gà đùi chiên nước mắm,"37,000"
3,Cơm chiên hải sản,"40,000"
4,Hủ tiếu áp chảo hải sản,"40,000"
5,Hủ tiếu áp chảo bò,"40,000"
6,Cơm chiên dương châu,"37,000"
7,Mì xào giòn,"40,000"
8,Cơm bò xào,"37,000"
9,Mì gói xào bò,"40,000"
10,Cơm chiên tôm,"40,000"
11,Cơm cánh gà chiên nước mắm,"37,000"
12,Cơm chiên cá mặn,"40,000"
13,Mì gói xào hải sản,"40,000"
14,Cơm cánh gà xối mỡ,"37,000"
15,Mì xào mềm xào hải sản,"40,000"
16,Mì xào mềm bò,"40,000"
17,Cơm chiên tỏi trứng,"37,000"
18,Mì gói xào trứng,"37,000"
19,Cơm chiên ốp la xúc xích,"37,000"
