,Food,Price
0,Cơm gà lớn,"49,000"
1,Cơm gà chiên mắm lớn,"53,000"
2,Cơm gà nhỏ,"39,000"
3,Cơm gà chiên mắm nhỏ,"43,000"
4,Cơm gà luộc,"50,000"
5,Cơm da gà nước mắm,"38,000"
6,Cơm Dương Châu,"43,000"
7,Cơm ba rọi chiên,"49,000"
8,Cơm Gà Xối Mỡ (Đùi Bự ),"60,000"
9,Cơm da gà phô mai,"38,000"
10,Cơm bò lúc lắc,"50,000"
11,Mì xào bò,"50,000"
12,Gà Chiên Mắm Tỏi Ớt Nhỏ ,"45,000"
13,Cơm bò xào củ hành,"49,000"
14,Cơm Sườn Chiên ,"50,000"
15,Cơm chiên Mực xào,"55,000"
16,Cơm bò xào cải,"49,000"
17,Cơm Gà Ốp La,"54,000"
18,Cơm Dương Châu + Đùi Gà Lớn,"75,000"
19,Mì xào hải sản,"55,000"
20,Cơm lạp xưởng trứng,"33,000"
21,Cơm xúc xích trứng,"38,000"
22,Cơm Gà Chiên Mắm (Đùi Bự),"65,000"
23,Cơm Dương Châu + Gà Nhỏ,"65,000"
24,Canh rong biển,"15,000"
25,Canh Cải Thảo Thịt Bằm,"14,000"
26,Cơm thêm,"7,000"
27,Da Gà Nước Mắm Thêm,"28,000"
28,Trứng thêm,"5,000"
29,Gà lớn thêm,"42,000"
30,Da Gà Phô Mai Thêm,"28,000"
31,Bò Lúc Lắc Thêm,"45,000"
32,Gà nhỏ thêm,"32,000"
33,Lạp xưởng thêm,"15,000"
34,Xúc xích thêm,"15,000"
35,Gà Luộc Thêm,"45,000"
36,Bò Xào Cải Thêm,"42,000"
37,Gà Chiên Mắm Nhỏ Thêm ,"34,000"
38,Bò Xào Củ Hành Thêm,"42,000"
39,Mực Xào Thêm,"50,000"
40,Kim Chi Thêm  ,"33,000"
41,Gà Chiên Mắm Tỏi Ớt Lớn Thêm,"45,000"
42,Gà Chiên Mắm Tỏi Ớt Nhỏ Thêm,"35,000"
43,Cà Pháo ,"33,000"
44,Gà Chiên Mắm Lớn Thêm,"44,000"
45,Gà Thêm ( Đùi Bự ),"55,000"
46,Da Heo Chiên Mỡ Hành ( Phô Mai ),"38,000"
47,Rong biển sấy,"28,000"
48,Trà Tắc,"15,000"
49,Bông Cúc,"15,000"
50,Nước Sâm,"15,000"
51,Sâm Rong Biển ,"15,000"
52,Nước Ngọt,"13,000"
53,Sâm 24 Vị Thảo Mộc,"15,000"
