,Food,Price
0,Cơm sườn non kho trứng cút (rau luộc) + Sâm bí đao,"66,000"
1,Cơm ba rọi kho tộ (rau luộc) + Sâm bí đao,"60,000"
2,Cơm ba rọi muối chiên + Sâm bí đao,"60,000"
3,Cơm gà kho gừng + Sâm bí đao,"52,000"
4,Cơm sườn non nướng mật ong + Sâm bí đao,"66,000"
5,Cơm cá lóc kho tộ (rau luộc) + Sâm bí đao,"60,000"
6,Cơm cá hú kho tộ (rau luộc) + Sâm bí đao,"60,000"
7,Cơm sườn non kho tộ (rau luộc) + Sâm bí đao,"66,000"
8,Cơm ba rọi kho trứng + Sâm bí đao,"60,000"
9,Cơm ba rọi rút sườn kho tộ (rau luộc),"49,000"
10,Cơm cá hú kho tộ (rau luộc),"49,000"
11,Cơm sườn non kho trứng cút (rau luộc),"55,000"
12,Cơm cá lóc kho tộ (rau luộc),"49,000"
13,Cơm sườn non kho tộ (rau luộc),"55,000"
14,Cơm đầu cá lóc kho tộ (rau luộc) ,"60,000"
15,Cơm ếch kho cà ri sả ớt,"49,000"
16,Cơm canh chua không cá,"38,000"
17,Cơm canh chua cá hú,"49,000"
18,Cơm canh chua cá lóc,"49,000"
19,Cơm canh khổ qua dồn thịt (1 trái),"47,000"
20,Cơm ba rọi rút sườn nướng mật ong,"49,000"
21,Cơm sườn non nướng mật ong,"55,000"
22,Cơm ức gà nướng mật ong,"47,000"
23,Cơm ba rọi kho trứng,"49,000"
24,Cơm ba rọi kho cải chua,"49,000"
25,Cơm ba rọi kho tàu,"50,000"
26,Cơm ba rọi rút sườn muối chiên,"49,000"
27,Cơm cá hường muối chiên,"45,000"
28,Cơm sườn non muối chiên,"55,000"
29,Cơm đùi gà chiên nước mắm,"47,000"
30,Cơm cá lóc phi lê muối chiên,"45,000"
31,Cơm ức gà chiên nước mắm,"47,000"
32,Cơm cá basa muối chiên,"45,000"
33,Cơm gà kho gừng,"41,000"
34,Cơm xíu mại trứng cút sốt cà ( 2 viên ),"45,000"
35,Cơm ba rọi kho mắm ruốc (dưa leo),"49,000"
36,Ba rọi  kho tộ + rau luộc,"43,000"
37,Cá hú kho tộ + rau luộc ,"43,000"
38,Cá lóc kho tộ + rau luộc ,"43,000"
39,Sườn non kho trứng cút ( rau luộc),"49,000"
40,Sườn non kho tộ ( rau luộc),"49,000"
41,Đầu cá lóc kho tộ (rau luộc),"54,000"
42,Ếch kho cà ri sả ớt,"43,000"
43,Ba rọi rút sườn nướng mật ong,"43,000"
44,Sườn non nướng mật ong,"49,000"
45,Ức gà nướng mật ong,"41,000"
46,Ba rọi kho trứng,"43,000"
47,Ba rọi kho cải chua,"43,000"
48,Ba rọi rút sườn muối chiên,"43,000"
49,Cá hường muối chiên (1 con),"39,000"
50,Sườn non muối chiên,"49,000"
51,Cá lóc phi lê muối chiên (1 miếng),"39,000"
52,Đùi gà chiên nước mắm,"41,000"
53,Ức gà chiên nước mắm,"41,000"
54,Cá basa muối chiên,"39,000"
55,Canh chua không cá,"25,000"
56,Canh chua cá hú,"43,000"
57,Xíu mại trứng cút (1 viên),"22,000"
58,Cơm trắng (1 hộp),"15,000"
59,Gà kho gừng,"35,000"
60,Canh chua cá lóc,"43,000"
61,Ba rọi kho mắm ruốc (dưa leo),"43,000"
62,Canh khổ qua dồn thịt (1 trái),"33,000"
63,Trứng vịt kho (1 trứng),"16,000"
64,Nước suối Aquafina,"10,000"
65,Sâm bí đao Mẹ nấu,"12,000"
