,Food,Price
0,Combo sườn,"79,000"
1,Combo Couple 2,"79,000"
2,Cơm sườn - trứng,"49,000"
3,Cơm sườn,"42,000"
4,Cơm sườn - chả ,"49,000"
5,Cơm sườn - bì - chả - trứng,"59,000"
6,Cơm sườn - chả - trứng,"55,000"
7,Cơm sườn - bì - chả,"55,000"
8,Cơm sườn - bì,"49,000"
9,Cơm sườn - bì - trứng,"55,000"
10,Cơm chả - trứng,"40,000"
11,Cơm chả - bì,"40,000"
12,Cơm chả - bì - trứng,"45,000"
13,Cơm bì - trứng,"38,000"
14,Canh rong biển,"18,000"
15,Canh cải thảo ,"18,000"
16,Canh rong biển thịt bằm,"18,000"
17,Cơm thêm,"12,000"
18,Canh cải thảo thịt bằm,"18,000"
19,Sườn thêm,"35,000"
20,Chả thêm,"15,000"
21,Bì thêm,"13,000"
22,Trứng thêm,"13,000"
