,Food,Price
0,Sườn Chua Ngọt,"55,000"
1,Thịt Kho Trứng Gà,"45,000"
2,Tôm Rim Tiêu,"50,000"
3,Ba Chỉ Rang Ca La Thầu,"55,000"
4,Gà Rang Gừng,"40,000"
5,Đậu Nhồi Thịt Sốt Cà,"30,000"
6,Bò Sốt Nấm,"45,000"
7,Cá Trắm Om Dưa,"55,000"
8,Cá Thu 1 Nắng Chiên,"55,000"
9,Tôm Rang Mặn Ngọt,"55,000"
10,Cá Ruội Rang Chua Ngọt,"40,000"
11,Bò Xào Hoa Lơ,"65,000"
12,Chả Viên Sốt Cà,"35,000"
13,Cá Rô Phi Chiên Giòn,"40,000"
14,Bò Xào Ngồng Tỏi,"55,000"
15,Cá Trứng Chiên Giòn,"45,000"
16,Mực Xào Cần Tỏi,"55,000"
17,Đà Điểu Xào Sả Ớt,"65,000"
18,Chả Mực,"65,000"
19,Lẩu Cua Đồng,"160,000"
20,Lẩu Sườn Sụn,"200,000"
21,Lẩu Gầu Bò,"220,000"
22,Lẩu Đuôi Bò,"220,000"
23,Lẩu Bò Úc,"300,000"
