,Food,Price
0,Bánh Trung Thu Lẻ,"79,000"
1,Trăng có Trà,"550,000"
2,Bộ đôi Trà Bánh,"124,000"
3,Sữa đá Sài Gòn,"39,000"
4,Bạc xỉu đá,"39,000"
5,Cà phê nâu đá,"35,000"
6,Bạc Xỉu (Nóng),"35,000"
7,Cà Phê Nâu (Nóng),"35,000"
8,Cà phê đen (đá),"29,000"
9,Vina-latte đá,"45,000"
10,Vina-cano đá,"35,000"
11,Cà phê đen nóng,"29,000"
12,Vina-cappu nóng,"41,000"
13,Vina-cano nóng,"31,000"
14,Cốt dừa cốm xanh,"59,000"
15,Cốt dừa cà phê,"59,000"
16,Cốt dừa cacao,"59,000"
17,Cốt dừa đậu xanh,"59,000"
18,Cốt dừa sô-cô-la,"65,000"
19,Trà cam quế đá,"45,000"
20,Trà quất mật ong nóng,"45,000"
21,Trà quất mật ong đá,"45,000"
22,Trà cam quế nóng,"45,000"
23,Trà tắc chanh leo,"45,000"
24,Trà phê đá,"39,000"
25,Trà phê nóng,"39,000"
26,Trà sữa thạch trà,"59,000"
27,Trà sữa macchiato,"59,000"
28,Trà sữa sô-cô-la bạc hà,"65,000"
29,Trà xanh sữa,"55,000"
30,Trà phê macchiato,"59,000"
31,Trà quế macchiato,"59,000"
32,Sinh tố bơ,"59,000"
33,Dưa hấu,"49,000"
34,Cóc xanh,"55,000"
35,Chanh leo tuyết,"55,000"
36,Cam,"65,000"
37,Chanh leo,"49,000"
38,Chanh tươi tuyết,"55,000"
39,Chanh tươi,"39,000"
40,Sinh tố xoài,"59,000"
41,Sài Gòn tắc xí muội,"45,000"
42,Đà Nẵng chanh muối soda,"49,000"
43,Cacao quế nóng,"59,000"
44,Cacao quế đá,"59,000"
45,Sô-cô-la nóng,"59,000"
46,Hà Nội sấu soda,"49,000"
47,Sô-cô-la đá,"59,000"
48,Sữa chua trái cây,"55,000"
49,Sữa chua cacao,"40,000"
50,Sữa chua cà phê,"40,000"
51,Sữa chua dầm đá,"35,000"
52,Thịt bò khô,"40,000"
53,Hướng Dương,"25,000"
54,Ngô Cay,"25,000"
