,Food,Price
0,Cafe kem trứng,"30,000"
1,Cafe bạc sỉu,"30,000"
2,Cafe nâu,"25,000"
3,Cafe đen,"25,000"
4,Cafe sầu riêng,"30,000"
5,Cacao kem trứng,"30,000"
6,Matcha dưa lưới,"30,000"
7,Socola,"30,000"
8,Socola kem trứng,"35,000"
9,Cacao,"25,000"
10,Matcha sữa,"30,000"
11,Trà sữa đặc biệt,"35,000"
12,Trà sữa trân châu đường đen,"39,000"
13,Trà sữa nướng,"45,000"
14,Trà sữa mứt trái cây,"35,000"
15,Sữa tươi trân châu đường đen,"39,000"
16,Hồng trà sữa,"35,000"
17,Trà sữa socola,"39,000"
18,Trà sữa việt quất,"35,000"
19,Cốt dừa cốm xanh,"35,000"
20,Việt quất đá xay,"30,000"
21,Matcha đá xay,"35,000"
22,Đậu xanh cốt dừa,"30,000"
23,Cookies chocolate,"35,000"
24,Cafe cốt dừa,"35,000"
25,Trà đào cam sả,"35,000"
26,Trà cam nha đam,"30,000"
27,Trà chanh đặc biệt,"25,000"
28,Trà đào nhiệt đới,"25,000"
29,Trà ô mai,"25,000"
30,Trà chanh sả,"25,000"
31,Trà hoa quả đặc biệt,"40,000"
32,Trà xanh việt quất,"25,000"
33,Trà xanh dưa lưới,"25,000"
34,Trà xanh kim quất,"25,000"
35,Trà thanh long đỏ,"25,000"
36,Trà xoài lắc,"25,000"
37,Sinh tố bơ,"35,000"
38,Sinh tố xoài,"35,000"
39,Nước ép cam,"35,000"
40,Nước ép dưa hấu,"35,000"
41,Nước ép táo,"35,000"
42,Ngô sấy giòn,"15,000"
43,Bò khô,"35,000"
44,Hướng dương,"15,000"
45,Heo cháy tỏi,"35,000"
46,Khô gà lá chanh,"35,000"
47,Bánh mì kẹp thịt Dolo Foods,"29,000"
48,Bánh mì dài kẹp thịt quay Dolo,"25,000"
49,1 Xúc xích rán ,"12,000"
50,1 chiếc Nem chua rán,"7,000"
51,5 chiếc Nem chua rán,"30,000"
52,Bánh mì kẹp thịt đặc biệt Dolo Foods,"40,000"
53,5 xúc xích rán,"55,000"
54,Bánh mỳ Kẹp thịt quay Dolo (lớn),"35,000"
