,Food,Price
0,Combo Smoothie 1,"89,000"
1,Combo Ăn No 2,"65,000"
2,Combo Ăn No,"65,000"
3,Combo 1 Hỗ trợ đẹp da & Bổ sung vitamin C,"80,000"
4,Combo 2 Cung cấp vitamin C & Hỗ trợ giảm cân,"80,000"
5,"Combo 3 Tái tạo hồng cầu & Hỗ trợ đẹp da, chống lão hóa","80,000"
6,Combo Smoothie 2,"89,000"
7,Combo Smoothie 3,"89,000"
8,Nui Xào,"42,000"
9,Mì xào trứng,"34,000"
10,Mì Xào,"39,000"
11,S4: Xoài + Bơ + Chuối + Sữa,"55,000"
12,S3: Xoài + Chuối + Thanh long đỏ + Táo + Sữa,"55,000"
13,S1: Dâu tây+ Chuối + Xoài,"55,000"
14,S2: Cải bó xôi + Chuối + Xoài + Dứa,"55,000"
15,Chocolate,"45,000"
16,Matcha,"45,000"
17,Dưa hấu,"35,000"
18,Tắc,"32,000"
19,Nước hoa dừa,"35,000"
20,J4: Táo + Dứa + Lê + Củ dền,"45,000"
21,J6: Củ dền + Dưa leo + Táo + Chanh,"40,000"
22,J5: Dưa hấu + Lê + Thanh long đỏ,"45,000"
23,J1:  Cần tây + Táo + Dứa,"45,000"
24,J3: Táo + Dưa hấu + Bạc hà + Hạt chia,"40,000"
25,J2:  Cải bó xôi + Dứa + Lê,"45,000"
26,J8: Táo + Lê + Cà rốt + Cam + Hạt chia + Sả,"55,000"
27,J7: Dứa + Táo + Bạc hà + Cà rốt + Ổi,"50,000"
28,J9: Cam + Cà rốt + Xoài,"40,000"
29,J11: Táo + Ổi + Cam + Lê,"50,000"
30,J12: Lựu + Thanh long đỏ + Táo + Ổi,"50,000"
31,J10: Bí đỏ + Táo + Dứa,"45,000"
32,J13 ( Bắp cải tím + Táo + Lê + Dứa ),"55,000"
33,Trà vải,"42,000"
34,Trà sữa olong,"32,000"
35,Trà đào cam sả,"45,000"
36,Trà trái cây,"45,000"
37,Trà sữa thái xanh,"35,000"
38,Latte choco,"39,000"
39,Cafe sữa đá,"28,000"
40,Latte coffee ( bạc xỉu ),"32,000"
41,Latte matcha,"39,000"
42,Cafe đen đá,"24,000"
43,Cafe nước hoa dừa,"35,000"
