,Food,Price
0,Bún mắm heo quay,"35,000"
1,Bánh ướt heo quay,"75,000"
2,Bánh ướt heo luộc,"70,000"
3,Bún mắm heo luộc,"35,000"
4,Bánh ướt bò né,"75,000"
5,Bánh ướt bò bắp,"100,000"
6,Mi Quang Heo Quay,"35,000"
7,Mi Quang Thit Trung,"35,000"
8,Bánh cuốn heo quay,"75,000"
9,Bánh cuốn heo luộc,"70,000"
10,Bánh cuốn bò né,"75,000"
11,Bánh cuốn bò bắp,"100,000"
12,Nước ép thơm,"20,000"
13,Nước ép cam,"25,000"
14,Nước dưa dấu,"20,000"
15,Nước  ép cóc,"25,000"
16,Nước chanh dây,"20,000"
17,Nước ép cà rốt,"20,000"
18,Nước chanh,"20,000"
19,Nước ép xoài,"20,000"
20,Sữa chua việt quất,"25,000"
21,Sữa chua đá,"23,000"
22,Sữa chua xoài,"25,000"
23,Sữa chua dâu,"25,000"
24,Sữa chua chanh dây,"25,000"
25,Sữa chua thập cẩm,"27,000"
26,Sữa chua cà  rốt,"25,000"
27,Bánh ướt thêm+nước mắm,"10,000"
28,Bánh cuốn thêm+mắm nêm,"10,000"
