,Food,Price
0,Cơm gạo lứt gà teriyaki,"59,000"
1,Cơm bò gyudon Nhật,"63,000"
2,Cơm Xá Xíu,"63,000"
3,Gà xào lá quế Thái,"58,000"
4,Cà Ri Bò Nhật + Khoai Nướng,"68,000"
5,Gạo lức xíu mại gà,"58,000"
6,Ba Chỉ Cháy Tỏi,"68,000"
7,Gà Sốt Cam,"58,000"
8,Sườn Kinh Đô,"62,000"
9,Sâm Mát Nhãn Nhục,"25,000"
10,Nha Đam Hạt Chia,"25,000"
11,Bông Cúc Kỷ Tử,"25,000"
12,Bí Đao Hạt Chia,"25,000"
13,Xíu Mại Sò Điệp (4 Viên),"44,000"
14,Há Cảo Tôm (4 Viên) ,"35,000"
15,Xíu Mại Thịt (4 Viên),"35,000"
16,Bánh Bao Xá Xíu (2 Bánh),"35,000"
17,Bánh Bao Kim Sa (2 Bánh),"35,000"
