,Food,Price
0,Sữa Chua Phúc Bồn Tử Đác Cam,"33,150"
1,Hồng Trà Dâu Cam Hạt Đác,"32,300"
2,Trà Cam Đào Hạt Đác,"29,750"
3,Trà Thảo Mộc Lucky Tea - Best sale,"28,050"
4,Trà Lài Đác Thơm,"28,900"
5,Trà Sữa Kem Trứng Dát Vàng - Size L,"32,300"
6,Trà chanh Hong Kong,"27,200"
7,Trà Xoài Vàng,"28,900"
8,Trà Sữa Kem Trứng Đặc Biệt - Size L,"28,900"
9,Trà Sữa Kem Trứng Dừa Nướng - Size L,"30,600"
10,Sữa Tươi Kem Trứng Trân Châu Đường Đen - Size L,"28,900"
11,Trà Sữa Oreo Kem Trứng - Size L,"30,600"
12,Sữa Tươi Kem Trứng Đường Đen - Size L,"27,200"
13,Sữa Tươi Kem Trứng Dừa Nướng - Size L,"28,900"
14,Sữa Chua Dâu Tây Hạt Đác,"32,300"
15,Trà Ổi Hạt Đác,"28,050"
16,Sữa Chua Xoài Đác Thơm,"33,150"
17,Sữa Đào Tươi,"29,750"
18,Hồng Trà Đác Cam,"30,600"
19,Cà Phê Bọt Biển Trân Châu Đen Dalgona,"28,050"
20,Cacao Kem Trứng Sữa,"29,750"
21,Cà Phê Bọt Biển - Best Sale,"25,500"
22,Trà Việt Quất Tím,"29,750"
23,Trà Cam Đào Dâu Đỏ,"27,200"
24,Trà Táo Xanh,"28,050"
25,Trà Dâu Xoài Nhiệt Đới,"27,200"
26,Trà Đào Dầm Trân Châu,"29,750"
27,Trà Vải Dầm Trân Châu,"29,750"
28,Trà Dưa Lưới Cam Đào,"28,900"
29,Trà Ổi Bưởi Hồng Dâu Tây,"29,750"
30,Trà Kiwi Táo Xanh,"29,750"
31,Hồng Trà Dưa Hấu,"28,050"
32,Trà Vải Cam Dâu Tây,"29,750"
33,Trà Kiwi Chanh Tuyết,"27,200"
34,Nước Mía Cam Tắc,"16,150"
35,Nước Mía Nguyên Chất Siêu Sạch Ly Khổng Lồ,"13,600"
36,Nước Mía Thơm,"16,150"
37,Hồng Trà Tắc Trân Châu Mật Ong,"28,050"
38,Hồng Trà Đào Trân Châu Mật Ong,"29,750"
39,Trà Dâu Xí Muội Trân Châu,"29,750"
40,Nước Mía Tắc Hạt Chia,"16,150"
41,Nước Mía Dâu Tây,"17,850"
42,Trà Tắc Xí Muội Trân Châu,"27,200"
43,Trà Vải Xí Muội Trân Châu,"29,750"
44,Hồng Trà Tắc Xí Muội,"28,050"
45,Trà Đào Xí Muội Trân Châu,"29,750"
46,Trà dâu Đông Du,"23,800"
47,Trà Vải Hương Lài,"27,200"
48,Trà Ổi Hồng Pha Lê Tuyết,"27,200"
49,Trà Lựu Đỏ Ngọc Trai,"27,200"
50,Trà Đào Cam Sả,"27,200"
51,Trà Dâu Tằm Mâm Xôi Đỏ,"28,900"
52,Trà lipton Đá Chanh,"22,100"
53,Trà Bưởi Hồng Dâu Tây,"29,750"
54,Trà Ổi Hồng Dâu Tuyết,"29,750"
55,Trà Vải Mâm Xôi Đỏ,"28,900"
56,Trà Cam Dâu Đỏ,"29,750"
57,Trà Mâm Xôi Chanh Vàng,"29,750"
58,Trà Sữa Truyền Thống Full Topping,"27,200"
59,Trà Sữa Truyền Thống - Size M,"17,000"
60,Sữa Tươi Trân Châu Đường Đen - Size L,"25,500"
61,Trà Sữa Việt Quất Full Topping Size - Size L ,"28,050"
62,Trà Sữa Matcha Full Topping - Size L,"28,050"
63,Trà Sữa Chocolate Full Topping - Size L,"28,050"
64,Trà Sữa Dâu Tây - Size L,"29,750"
65,Trà Sữa Trân Châu Đường Đen - Size L ,"27,200"
66,Sữa Chua Trân Châu Đường Đen,"28,900"
67,Trà Sữa Hoa Đậu Biếc - Size L,"28,050"
68,Mojito Việt Quất,"27,200"
69,Mojito Chanh Dây,"27,200"
70,Mojito Dâu Hokkaido,"29,750"
71,Mojito Trà Xanh Biếc,"28,050"
72,Oreo đá xay,"27,200"
73,Việt quất đá xay,"27,200"
74,Chocolate đá xay,"27,200"
75,Matcha đá xay,"27,200"
76,Yogurt đá,"25,500"
77,Ép cam + thơm,"23,800"
78,Ép thơm,"18,700"
79,Ép cam + cà rốt,"23,800"
80,Ép cà rốt,"21,250"
81,Ép dưa hấu,"22,100"
82,Ép cam,"23,800"
83,Ép chanh,"17,000"
84,Sinh tố việt quất,"27,200"
85,Sinh tố dâu tây,"27,200"
86,Sinh tố chanh dây,"19,550"
87,Sinh tố dâu + xoài,"24,650"
88,Sinh tố xoài,"22,950"
89,Sinh tố chanh tuyết,"19,550"
90,Soda việt quất,"23,800"
91,Soda dâu,"23,800"
92,Soda blue ocean,"22,100"
93,Soda chanh dây,"21,250"
94,Soda xoài,"23,800"
95,Cà Phê Sữa Đá,"15,300"
96,Ca Cao Đá,"21,250"
97,Bạc xỉu,"18,700"
98,Cà Phê Đen Đá,"12,750"
