,Food,Price
0,Combo Cơm Trưa Phi-lê Gà Quay,"42,000"
1,Combo Cơm Trưa Gà Rán,"42,000"
2,Combo Trưa Burger Tôm,"42,000"
3,Combo Cơm Gà Xốt Teriyaki,"42,000"
4,Combo Trưa Mì Ý Gà Viên,"42,000"
5,Combo Cơm Trưa Gà Xiên Que,"42,000"
6,Combo Cơm Trưa Gà Bít-Tết,"42,000"
7,Gà rán (3 miếng),"101,000"
8,Gà rán (2 miếng),"68,000"
9,Gà rán (1 miếng),"35,000"
10,Gà Hot Wings (3 miếng),"48,000"
11,Gà Quay (1 Miếng),"67,000"
12,Gà Hot Wings (5 miếng),"75,000"
13,Lipton Burger,"62,000"
14,1 Trà Chanh Lipton (Lớn),"17,000"
15,Lipton Cơm Gà,"62,000"
16,Lipton Gà,"59,000"
17,1 Trà Chanh Lipton (Vừa),"10,000"
18,Chikoyaki B,"99,000"
19,Chikoyaki A,"69,000"
20,1 Miếng Gà Chikoyaki,"40,000"
21,2 Miếng Gà Chikoyaki,"77,000"
22,3 Miếng Gà Chikoyaki,"114,000"
23,Chikoyaki C,"199,000"
24,6 Miếng Gà Chikoyaki,"224,000"
25,Burger Tôm,"41,000"
26,Cơm Phi-lê Gà Quay ,"42,000"
27,Burger Zinger,"50,000"
28,Burger Gà Quay Flava,"47,000"
29,Cơm Gà Rán,"42,000"
30,Mì Ý Xốt Cà Xúc Xích Gà Viên,"37,000"
31,Cơm Gà Teriyaki,"42,000"
32,Cơm Gà Xiên Que,"42,000"
33,Mì Ý Xốt Cà Xúc Xích Gà Zinger,"53,000"
34,Khoai tây chiên (Lớn),"28,000"
35,1 Gà Popcorn (Vừa),"36,000"
36,1 Gà Popcorn (Lớn),"58,000"
37,Phô mai viên (4 viên),"30,000"
38,Cá Thanh (3 Thanh),"40,000"
39,2 Gà Xiên Que,"33,000"
40,Khoai tây nghiền ,"12,000"
41,Mashies nhân Rau Củ (3 viên),"24,000"
42,Bắp Cải Trộn (Vừa),"12,000"
43,2 Xiên Tenderods,"36,000"
44,Bắp Cải Trộn ( Lớn ),"22,000"
45,Bắp Cải Trộn (Đại),"31,000"
46,4 Bánh Trứng,"54,000"
47,1 Bánh Trứng,"17,000"
48,Pepsi lon,"17,000"
49,Trà đào,"24,000"
50,Pepsi vị chanh không calo lon,"17,000"
51,Hộp Milo,"20,000"
52,7Up lon,"17,000"
53,Aquafina,"15,000"
54,Twister (lon),"17,000"
55,Combo Gà Rán,"97,000"
56,Combo Nhóm,"183,000"
57,Combo Gà Viên,"84,000"
58,Combo Burger,"78,000"
59,Combo Gia Đình,"254,000"
