,Food,Price
0,Gà Rang Muối ( 1 Con),"209,000"
1,Gà Nướng Lu,"209,000"
2,Gà Chiên Mắm (1 Con),"209,000"
3,Gà Mạnh Hoạch Rán 1 suất,"99,000"
4,Gà Mạnh Hoạch Luộc  1 Suất,"99,000"
5,Xôi Hấp Cốt Dừa,"39,000"
6,Xôi Rán,"49,000"
7,Miến Xào,"45,000"
8,Rau bí xào tỏi,"49,000"
9,Miến Nấu,"35,000"
10,Giá Mướp Xào Lòng Mề,"45,000"
11,Gà Không Lối Thoát,"310,000"
12,Ngô Chiên,"40,000"
13,Rau Muống Xào,"45,000"
14,Khoai Lang Kén,"45,000"
15,Nộm dưa chuột,"39,000"
16,Nộm chân gà rút xương,"99,000"
17,Nộm gà xé phay,"129,000"
18,Gà Rang Muối 1/2 con,"109,000"
19,Ếch xào măng cay,"159,000"
20,Ếch Rang muối ( 1 đĩa ) ,"159,000"
21,Măng trúc xào thịt bò,"150,000"
22,Gà Rán + 1 coca,"109,000"
23,Gà luộc( suât)+ 1 coca,"109,000"
24,Coca lon,"15,000"
25,Cam ép lon,"15,000"
26,Nước Suối Dasani,"10,000"
