,Food,Price
0,Cam đường,"22,000"
1,Tắc xí muội,"20,000"
2,Sữa tươi cafe,"20,000"
3,Chanh đá xay,"22,000"
4,Cam sữa,"25,000"
5,Dừa trái,"22,000"
6,Cà rốt,"22,000"
7,Cà chua,"22,000"
8,Chanh muối,"20,000"
9,Chanh dây,"20,000"
10,Chanh đá,"18,000"
11,Sữa tươi,"18,000"
12,Cafe sữa đá,"18,000"
13,Bạc xỉu,"20,000"
14,Cafe đen nóng,"15,000"
15,Cafe đen dá,"15,000"
16,Cafe sữa nóng,"18,000"
17,Culi đá sữa,"18,000"
18,Cacao nóng,"20,000"
19,Cacao đá,"20,000"
20,Cacao sữa nóng,"22,000"
21,Cacao sữa đá,"22,000"
