,Food,Price
0,Trà sữa Haocha,"32,000"
1,Trà sữa Haocha No.1,"32,000"
2,Hồng trà đào,"39,000"
3,Trà sữa hoàng kim,"39,000"
4,Trà sữa pudding trứng,"39,000"
5,Sữa tươi nướng hắc ngọc,"45,000"
6,Vũ điệu Hawai,"47,000"
7,Trà sữa coconut jelly,"37,000"
8,Trà sữa sương sáo,"39,000"
9,Green tea sữa nướng,"35,000"
10,Haocha fruit,"47,000"
11,Trà Ruby sữa nướng,"39,000"
12,Bạc xỉu,"40,000"
13,Espresso Condensed Milk,"35,000"
14,Espresso,"30,000"
15,Cappuchino caramel,"50,000"
16,Macchiato,"45,000"
17,Mocha,"45,000"
18,Matcha latte,"50,000"
19,Americano,"45,000"
20,Cappuchino,"45,000"
21,Latte,"45,000"
22,Thơm ép,"40,000"
23,Dưa hấu,"40,000"
24,Cam - thơm - dâu,"60,000"
25,Bưởi hồng,"60,000"
26,Ổi - táo - thơm,"60,000"
27,Táo - cần - gừng,"60,000"
28,Hỗn hợp,"60,000"
29,Matcha đá xay,"45,000"
30,Combo Dáng hồng hoàng kim,"117,000"
31,Trà sữa Pudding Trứng (L) + 2 Trà sữa Haocha (M),"138,000"
32,Combo Ngọt Ngào,"78,000"
